time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0.0969031099999995,-0.224995475,-0.1617323,-0.12632705,-0.08523853,-0.05539695,-0.03333034,-0.014676775,0.003869811,0.01979956,0.0344631,0.06649015,0.09528498,0.1108302,0.1286325,0.1477385,0.1671102,0.19142175,0.2162191,0.2586492,0.296683825,0.354185530000001,-0.224995475,-0.1617323,-0.12632705,-0.08523853,-0.05539695,-0.03333034,-0.014676775,0.003869811,0.01979956,0.0344631,0.06649015,0.09528498,0.1108302,0.1286325,0.1477385,0.1671102,0.19142175,0.2162191,0.2586492,0.296683825,0.354185530000001,,,,,,,,,,,,,,,,,,,,,
-27,0,0.0994691500000009,-0.266346665,-0.173945375,-0.13443475,-0.08753596,-0.05836586,-0.0352092,-0.01393635,0.003595817,0.022123595,0.03672334,0.06618125,0.09622678,0.1113411,0.1281208,0.148941,0.1666544,0.19181805,0.2195631,0.26438615,0.30292885,0.3874709,-0.266346665,-0.173945375,-0.13443475,-0.08753596,-0.05836586,-0.0352092,-0.01393635,0.003595817,0.022123595,0.03672334,0.06618125,0.09622678,0.1113411,0.1281208,0.148941,0.1666544,0.19181805,0.2195631,0.26438615,0.30292885,0.3874709,,,,,,,,,,,,,,,,,,,,,
-26,0,-0.17320265,-0.427795415,-0.345793625,-0.308914,-0.2656391,-0.2373463,-0.214872,-0.194296,-0.17732,-0.16071545,-0.1443592,-0.1142845,-0.08424134,-0.06664513,-0.04916445,-0.03212195,-0.01055264,0.00997479350000001,0.03801737,0.0802268199999999,0.115716,0.200110265,-0.427795415,-0.345793625,-0.308914,-0.2656391,-0.2373463,-0.214872,-0.194296,-0.17732,-0.16071545,-0.1443592,-0.1142845,-0.08424134,-0.06664513,-0.04916445,-0.03212195,-0.01055264,0.00997479350000001,0.03801737,0.0802268199999999,0.115716,0.200110265,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.274848909999999,-0.49537346,-0.421623,-0.3836106,-0.3411185,-0.31314005,-0.2884158,-0.2656175,-0.2478891,-0.23000135,-0.2140038,-0.184551,-0.1565208,-0.1409661,-0.1240346,-0.10314425,-0.0857088399999999,-0.063806815,-0.03223283,0.01283587,0.0450443675,0.116802145,-0.49537346,-0.421623,-0.3836106,-0.3411185,-0.31314005,-0.2884158,-0.2656175,-0.2478891,-0.23000135,-0.2140038,-0.184551,-0.1565208,-0.1409661,-0.1240346,-0.10314425,-0.0857088399999999,-0.063806815,-0.03223283,0.01283587,0.0450443675,0.116802145,,,,,,,,,,,,,,,,,,,,,
-24,0,0,-0.3017614,-0.232986475,-0.1933526,-0.1544855,-0.1293753,-0.104802,-0.084556075,-0.06785785,-0.049917565,-0.03455606,-0.001728645,0.02882892,0.042944695,0.06039478,0.079968025,0.09962764,0.1233672,0.1504846,0.1960116,0.236870625,0.3047395,-0.3017614,-0.232986475,-0.1933526,-0.1544855,-0.1293753,-0.104802,-0.084556075,-0.06785785,-0.049917565,-0.03455606,-0.001728645,0.02882892,0.042944695,0.06039478,0.079968025,0.09962764,0.1233672,0.1504846,0.1960116,0.236870625,0.3047395,,,,,,,,,,,,,,,,,,,,,
-23,0,-0.44010347,-0.61264679,-0.538580275,-0.49615535,-0.4476329,-0.4173708,-0.391447,-0.37198,-0.3550746,-0.33805955,-0.3217662,-0.2927805,-0.2622332,-0.24808165,-0.2317754,-0.21186425,-0.19451,-0.1708764,-0.1429675,-0.10498305,-0.0607363449999999,0.0129617685000002,-0.61264679,-0.538580275,-0.49615535,-0.4476329,-0.4173708,-0.391447,-0.37198,-0.3550746,-0.33805955,-0.3217662,-0.2927805,-0.2622332,-0.24808165,-0.2317754,-0.21186425,-0.19451,-0.1708764,-0.1429675,-0.10498305,-0.0607363449999999,0.0129617685000002,,,,,,,,,,,,,,,,,,,,,
-22,0,0,-0.297583985,-0.231058625,-0.19307905,-0.1499728,-0.12009635,-0.09530914,-0.0756898,-0.05855257,-0.04284781,-0.02853522,2.497525e-05,0.03216712,0.048956295,0.06364234,0.079461225,0.0994572200000001,0.1216144,0.1510015,0.19196895,0.230426975,0.305285735000001,-0.297583985,-0.231058625,-0.19307905,-0.1499728,-0.12009635,-0.09530914,-0.0756898,-0.05855257,-0.04284781,-0.02853522,2.497525e-05,0.03216712,0.048956295,0.06364234,0.079461225,0.0994572200000001,0.1216144,0.1510015,0.19196895,0.230426975,0.305285735000001,,,,,,,,,,,,,,,,,,,,,
-21,0,-0.108462410000001,-0.38647557,-0.30361825,-0.2660596,-0.2245917,-0.19537505,-0.1743514,-0.15332275,-0.135215,-0.11932535,-0.1027706,-0.07438435,-0.04223498,-0.027254475,-0.0105585,0.006961285,0.02631946,0.054357645,0.08384931,0.1187918,0.15369695,0.214372665,-0.38647557,-0.30361825,-0.2660596,-0.2245917,-0.19537505,-0.1743514,-0.15332275,-0.135215,-0.11932535,-0.1027706,-0.07438435,-0.04223498,-0.027254475,-0.0105585,0.006961285,0.02631946,0.054357645,0.08384931,0.1187918,0.15369695,0.214372665,,,,,,,,,,,,,,,,,,,,,
-20,0,-0.27369539,-0.471415625,-0.410550275,-0.37379805,-0.3306136,-0.3024175,-0.2783968,-0.25883775,-0.2433585,-0.226329,-0.2115344,-0.182499,-0.1510722,-0.1356438,-0.1200013,-0.1026995,-0.0833507,-0.05985288,-0.0290450200000001,0.0203639899999998,0.0592331975,0.130749335,-0.471415625,-0.410550275,-0.37379805,-0.3306136,-0.3024175,-0.2783968,-0.25883775,-0.2433585,-0.226329,-0.2115344,-0.182499,-0.1510722,-0.1356438,-0.1200013,-0.1026995,-0.0833507,-0.05985288,-0.0290450200000001,0.0203639899999998,0.0592331975,0.130749335,,,,,,,,,,,,,,,,,,,,,
-19,0,0,-0.301663205,-0.23417715,-0.19574935,-0.1514243,-0.12219665,-0.09766688,-0.077977725,-0.06122262,-0.04358345,-0.02933336,0.002076995,0.03065994,0.04558821,0.06251162,0.0799005,0.1006764,0.124001,0.1536095,0.19766455,0.232789325,0.299569745,-0.301663205,-0.23417715,-0.19574935,-0.1514243,-0.12219665,-0.09766688,-0.077977725,-0.06122262,-0.04358345,-0.02933336,0.002076995,0.03065994,0.04558821,0.06251162,0.0799005,0.1006764,0.124001,0.1536095,0.19766455,0.232789325,0.299569745,,,,,,,,,,,,,,,,,,,,,
-18,0,-0.381208340000001,-0.56675982,-0.492672025,-0.45147395,-0.405416,-0.3761914,-0.3538512,-0.3321365,-0.3136679,-0.2969946,-0.2803586,-0.2511705,-0.2215626,-0.2070576,-0.1891163,-0.16976575,-0.148948,-0.12569485,-0.09568256,-0.0537191850000003,-0.0207722449999997,0.0595042895,-0.56675982,-0.492672025,-0.45147395,-0.405416,-0.3761914,-0.3538512,-0.3321365,-0.3136679,-0.2969946,-0.2803586,-0.2511705,-0.2215626,-0.2070576,-0.1891163,-0.16976575,-0.148948,-0.12569485,-0.09568256,-0.0537191850000003,-0.0207722449999997,0.0595042895,,,,,,,,,,,,,,,,,,,,,
-17,0,-0.380220139999999,-0.563831975,-0.49350865,-0.45113285,-0.4053545,-0.37175785,-0.3495324,-0.33013175,-0.3134492,-0.2970814,-0.2795964,-0.246368,-0.2162898,-0.2027745,-0.1873422,-0.16940675,-0.149763,-0.12775905,-0.09872192,-0.059146105,-0.0231964424999996,0.0565705970000001,-0.563831975,-0.49350865,-0.45113285,-0.4053545,-0.37175785,-0.3495324,-0.33013175,-0.3134492,-0.2970814,-0.2795964,-0.246368,-0.2162898,-0.2027745,-0.1873422,-0.16940675,-0.149763,-0.12775905,-0.09872192,-0.059146105,-0.0231964424999996,0.0565705970000001,,,,,,,,,,,,,,,,,,,,,
-16,0,-0.481085830000001,-0.65365388,-0.55815485,-0.5185286,-0.4720576,-0.4440735,-0.4206754,-0.400448,-0.3827045,-0.3660861,-0.3520456,-0.320132,-0.2902436,-0.2759725,-0.2576288,-0.239766,-0.2202868,-0.19810255,-0.1670515,-0.12286705,-0.0839824025,-0.0287596295,-0.65365388,-0.55815485,-0.5185286,-0.4720576,-0.4440735,-0.4206754,-0.400448,-0.3827045,-0.3660861,-0.3520456,-0.320132,-0.2902436,-0.2759725,-0.2576288,-0.239766,-0.2202868,-0.19810255,-0.1670515,-0.12286705,-0.0839824025,-0.0287596295,,,,,,,,,,,,,,,,,,,,,
-15,0,-0.276224559999999,-0.506567765,-0.422676775,-0.38175305,-0.3368987,-0.30826215,-0.2860864,-0.26742625,-0.2479222,-0.23238645,-0.2166748,-0.1834325,-0.1546562,-0.137104,-0.1211469,-0.10430975,-0.0853664399999999,-0.061733335,-0.03263288,0.00880415949999997,0.0419707775,0.135030640000001,-0.506567765,-0.422676775,-0.38175305,-0.3368987,-0.30826215,-0.2860864,-0.26742625,-0.2479222,-0.23238645,-0.2166748,-0.1834325,-0.1546562,-0.137104,-0.1211469,-0.10430975,-0.0853664399999999,-0.061733335,-0.03263288,0.00880415949999997,0.0419707775,0.135030640000001,,,,,,,,,,,,,,,,,,,,,
-14,0,-0.171875310000001,-0.42050568,-0.35162655,-0.31473235,-0.2662778,-0.23455135,-0.2117458,-0.192901,-0.1759339,-0.15892815,-0.143134,-0.1138765,-0.08367628,-0.066939705,-0.0519377800000001,-0.035019575,-0.0172830399999999,0.005850811,0.0346448,0.07427396,0.111596275,0.1880281,-0.42050568,-0.35162655,-0.31473235,-0.2662778,-0.23455135,-0.2117458,-0.192901,-0.1759339,-0.15892815,-0.143134,-0.1138765,-0.08367628,-0.066939705,-0.0519377800000001,-0.035019575,-0.0172830399999999,0.005850811,0.0346448,0.07427396,0.111596275,0.1880281,,,,,,,,,,,,,,,,,,,,,
-13,0,-0.10397111,-0.38162243,-0.3060315,-0.26683665,-0.2230778,-0.1934814,-0.1713568,-0.151558,-0.1338962,-0.11577665,-0.1001656,-0.06871745,-0.0380158,-0.023868625,-0.00638626800000001,0.011172325,0.0313232000000001,0.05613916,0.0850357,0.1290022,0.162794375,0.24950298,-0.38162243,-0.3060315,-0.26683665,-0.2230778,-0.1934814,-0.1713568,-0.151558,-0.1338962,-0.11577665,-0.1001656,-0.06871745,-0.0380158,-0.023868625,-0.00638626800000001,0.011172325,0.0313232000000001,0.05613916,0.0850357,0.1290022,0.162794375,0.24950298,,,,,,,,,,,,,,,,,,,,,
