cell,chloroplast,visual_start_time,start_time,end_time,move_time
1,1,8,8,27,19
1,2,11,10,44,34
1,3,5,8,15,7
1,4,7,11,35,24
1,5,6,6,41,35
1,6,5,6,20,14
1,7,9,14,35,21
1,8,14,16,38,22
1,9,12,14,38,24
1,10,17,9,37,28
1,11,16,18,21,3
1,12,19,20,39,19
1,13,13,14,32,18
1,14,10,10,30,20
1,15,11,11,45,34
1,16,18,20,40,20
1,17,19,21,61,40
1,18,29,31,84,53
2,1,7,9,17,8
2,2,5,Inf,Inf,Inf
2,3,9,Inf,Inf,Inf
2,4,24,24,63,39
2,5,27,31,82,51
2,6,30,33,75,42
2,7,40,44,81,37
2,8,10,10,19,9
2,9,14,20,62,42
2,10,5,7,35,28
2,11,9,12,32,20
3,1,4,Inf,Inf,Inf
3,2,9,10,21,11
3,3,3,Inf,Inf,Inf
3,4,6,7,18,11
3,5,9,12,21,9
3,6,7,9,21,12
3,7,11,10,22,12
3,8,4,Inf,Inf,Inf
3,9,4,Inf,Inf,Inf
3,10,22,23,60,37
3,11,20,18,62,44
3,12,15,16,37,21
3,13,12,13,35,22
4,1,3,Inf,Inf,Inf
4,2,8,10,20,10
4,3,5,6,19,13
4,4,8,10,27,17
4,5,4,Inf,Inf,Inf
4,6,14,13,49,36
4,7,17,19,39,20
4,8,14,20,40,20
4,9,7,7,24,17
4,10,19,21,47,26
4,11,24,25,38,13
5,1,9,10,23,13
5,2,13,Inf,Inf,Inf
5,3,14,24,30,6
5,4,5,Inf,Inf,Inf
5,5,17,Inf,Inf,Inf
5,6,22,24,49,25
5,7,13,23,39,16
5,8,25,15,38,23
5,9,16,19,38,19
5,10,15,21,42,21
5,11,26,31,38,7
5,12,20,21,40,19
5,13,9,Inf,Inf,Inf
5,14,1,Inf,Inf,Inf
6,1,1,3,22,19
6,2,6,9,24,15
6,3,12,12,33,21
6,4,6,14,23,9
6,5,7,10,26,16
6,6,11,11,24,13
6,7,11,11,29,18
6,8,30,17,47,30
6,9,10,13,22,9
6,10,11,17,25,8
6,11,18,19,39,20
6,12,39,40,54,14
6,13,14,31,35,4
6,14,35,37,53,16
6,15,26,19,64,45
6,16,21,32,33,1
6,17,12,11,25,14
7,1,5,6,26,20
7,2,8,7,28,21
7,3,8,6,24,18
7,4,19,22,69,47
7,5,7,14,20,6
7,6,18,17,26,9
7,7,2,Inf,Inf,Inf
7,8,7,Inf,Inf,Inf
7,9,6,9,30,21
7,10,19,20,42,22
7,11,6,19,22,3
7,12,20,18,31,13
7,13,10,Inf,Inf,Inf
7,14,15,15,37,22
8,1,6,7,22,15
8,2,8,9,27,18
8,3,7,9,18,9
8,4,21,22,32,10
8,5,7,8,26,18
8,6,7,11,17,6
8,7,7,7,33,26
8,8,33,33,70,37
8,9,6,7,28,21
8,10,7,Inf,Inf,Inf
8,11,17,20,62,42
8,12,16,20,76,56
8,13,21,10,49,39
9,1,5,4,17,13
9,2,4,6,17,11
9,3,10,11,26,15
9,4,13,14,30,16
9,5,10,11,22,11
9,6,6,10,15,5
9,7,10,10,30,20
9,8,13,14,29,15
9,9,26,26,71,45
9,10,18,19,41,22
9,11,13,14,26,12
9,12,10,13,25,12
9,13,17,19,22,3
9,14,19,20,67,47
9,15,11,25,65,40
9,16,14,16,47,31
