cell,chloroplast,s_b_ex,s_Y
1,1,0.0416867759667049,0.129472420706408
1,2,0.0196222839125,0.150650207102129
1,3,0.0145410165555134,0.168150108556324
1,4,0.0184562250007984,0.222589972863112
1,5,0.0427646022993339,0.182858696856017
1,6,0.0133565098010187,0.125114047371424
1,7,0.0361159343946978,0.181650253118155
1,8,0.0543249174093382,0.226738170037363
1,9,0.0501316004603574,0.198703828383797
1,10,0.0246843516875877,0.228090823170972
1,11,0.0167306176773266,0.244412906790627
1,12,0.0513729647777577,0.228021134322604
1,13,0.0309128014173249,0.225582754750406
1,14,0.0376348825022618,0.201278819025215
1,15,0.0275619917664108,0.194947529264049
1,16,0.0761595105250614,0.256447287912594
1,17,0.0526454793026993,0.218931785706772
1,18,0.0330610622457114,0.204572386732595
2,1,0.0374800015407758,0.140638647391013
2,2,0.00550476964966562,0.177533227077815
2,3,0.00398494206288128,0.170305451419871
2,4,0.0235097451438792,0.137748578819163
2,5,0.0432255664720701,0.20258830394782
2,6,0.0811169354244237,0.198975988081052
2,7,0.0546428544283994,0.199783926036827
2,8,0.0679945189695119,0.184240352217781
2,9,0.0719415244309814,0.188813993399868
2,10,0.00736084316144673,0.199284283266538
2,11,0.0671008245272067,0.221862488551383
3,1,0.00849380537566443,0.184762539737791
3,2,0.0461675712367835,0.207606290059664
3,3,0.000141195000004316,0.179101176044693
3,4,0.0213512641363037,0.183923439151945
3,5,0.0156547995451171,0.217431868854055
3,6,0.0249786116606201,0.255036616512738
3,7,0.0166620933711181,0.172911513625639
3,8,0.00172130828315056,0.257595534263837
3,9,0.0214762243440444,0.219622979826732
3,10,0.014858978129764,0.247077941737942
3,11,0.0195266732308941,0.197528478053014
3,12,0.0193997307622772,0.216099639646855
3,13,0.0276461684550787,0.22262275813812
4,1,6.21299805177373e-06,0.194678761067063
4,2,0.0937209936464848,0.227548786237547
4,3,0.060943865139522,0.262074995370286
4,4,0.040623632773593,0.193537646049688
4,5,0.00808741864428918,0.159970920568015
4,6,0.053065795993113,0.251717646635773
4,7,0.0666152138544425,0.220348886682162
4,8,0.0203636678862469,0.240371810504991
4,9,0.0478729182685075,0.185317158930217
4,10,0.0658666279836808,0.302949127898194
4,11,0.0410471122484711,0.308634653749285
5,1,0.0419340275121852,0.233150594704261
5,2,0.00460264923793943,0.277020893046419
5,3,0.00507260000657797,0.168760161152763
5,4,0.0030914760418242,0.251001402608325
5,5,0.00627572318096456,0.296544606496025
5,6,0.0191432590956787,0.318721004559939
5,7,0.0169213819829251,0.244039725213971
5,8,0.042395208150379,0.249845201864694
5,9,0.0373635309333743,0.237971979303749
5,10,0.0260626607724108,0.303399881496448
5,11,0.228004759379945,0.5425604779424
5,12,0.0756275524642595,0.198018471925428
5,13,0.00432720961312767,0.191714586433076
5,14,1.24055966799317e-05,0.343479745954389
6,1,0.0245987423542546,0.166575895527112
6,2,0.0201440642408986,0.225300636451389
6,3,0.015217155400453,0.163587768576306
6,4,0.0204472100412126,0.166889237761868
6,5,0.0111708921443546,0.165742927708505
6,6,0.0154879481270573,0.189105548496354
6,7,0.017858435099669,0.200132365288548
6,8,0.0184368415558945,0.198133003065388
6,9,0.0119713609244314,0.205305805340876
6,10,0.00975909064789039,0.175020460103928
6,11,0.0199010382333498,0.194678729826459
6,12,0.00711474537528804,0.231636035754443
6,13,0.00977719161912436,0.195811591937626
6,14,0.0088749287204459,0.208516191370383
6,15,0.00942469257745632,0.157709555487306
6,16,0.00824629770234593,0.218972118306
6,17,0.0132483596137952,0.20509787029057
7,1,0.0205502661947136,0.193783197659655
7,2,0.0319164500608477,0.230086357655951
7,3,0.047889377358599,0.25149350627502
7,4,0.0286863460860898,0.256913997857426
7,5,0.0119926765385292,0.181087545380872
7,6,0.0139540906901688,0.230581877618589
7,7,8.51796301777395e-06,0.273046517543943
7,8,0.0143361379429173,0.327566248493616
7,9,0.0218714855066148,0.198810001518523
7,10,0.0309273999925958,0.361389905161207
7,11,0.0155030794770505,0.258272839961833
7,12,0.045171339366889,0.301799171261467
7,13,0.00437865371120247,0.26485253858003
7,14,0.0605820894493795,0.210483872871207
8,1,0.0144317797725917,0.187363088227787
8,2,0.0523355273801667,0.161685379476018
8,3,0.0576718816769345,0.204499165682744
8,4,0.0320805324174592,0.208192238685406
8,5,0.0437014627782415,0.214481380452629
8,6,0.00841008825089908,0.17618998254196
8,7,0.0349082497192888,0.20166531721129
8,8,0.0393753784387445,0.151555764468737
8,9,0.0365861222370207,0.187667121457001
8,10,0.00475576966353972,0.226537332980548
8,11,0.00965447000436284,0.185572955844551
8,12,0.0350781736078547,0.193087554498975
8,13,0.0868250618778554,0.1527168803765
9,1,0.0269738858771422,0.17578940473818
9,2,0.0178907154444767,0.235414990310464
9,3,0.0212768129483163,0.21090689931511
9,4,0.0168961097984917,0.169511390088815
9,5,0.057123853572438,0.184532595424605
9,6,0.0130389140325056,0.185352140414072
9,7,0.0315608593209439,0.167445291240107
9,8,0.0201587673223877,0.191399100318461
9,9,0.0169883274067568,0.190281922959573
9,10,0.00989184714724253,0.184324587002336
9,11,0.0153733042575903,0.178562842542412
9,12,0.0272007905954011,0.192156656961048
9,13,0.0458814907288696,0.252487249479902
9,14,0.0317808762154485,0.191313236714154
9,15,0.00967550319230255,0.188945792439572
9,16,0.0268617729393359,0.220805814801164
