consecutive,period,fold,cor,mae,rmse,no_perfect,no_data,no_data_full
1,1,1,0.348023618099032,8.29133858267717,11.2498468930964,15,127,127
2,1,1,0.40780889381717,5.47244094488189,9.25364367478252,50,127,127
3,1,1,0.769762605886439,3.06299212598425,5.99409157906915,65,127,127
4,1,1,0.799462190683565,2.5327868852459,5.07404194300207,63,122,127
5,1,1,0.800432673264634,3,5.80179882150505,57,115,127
1,2,1,0.441288876227852,6.96850393700787,10.078823203398,27,127,127
2,2,1,0.494299106869338,5.48818897637795,8.90854672347906,43,127,127
3,2,1,0.73781712911346,3.37007874015748,6.42705893968409,58,127,127
4,2,1,0.793332989477395,2.68852459016393,5.16609374577775,57,122,127
5,2,1,0.796651266667694,3.2,5.92415835152244,50,115,127
1,3,1,0.595412064066322,5.92125984251969,8.82462553018719,26,127,127
2,3,1,0.638569068431051,4.53543307086614,7.68063317599871,48,127,127
3,3,1,0.771724958938257,3.21259842519685,6.08211525575206,58,127,127
4,3,1,0.784514201959403,2.68852459016393,5.17402085454617,57,122,127
5,3,1,0.794293551876613,3.17391304347826,5.8866097129879,50,115,127
1,4,1,0.623703819293931,5.40157480314961,8.33926298221936,25,127,127
2,4,1,0.693631097399549,3.97637795275591,6.98874235360264,52,127,127
3,4,1,0.794510267162152,2.80314960629921,5.69569529398209,62,127,127
4,4,1,0.79191755526606,2.68852459016393,5.16291949432858,56,122,127
5,4,1,0.797450584601509,3.23478260869565,5.91681465420153,49,115,127
1,5,1,0.676615119902691,5.05511811023622,7.77539020971847,22,127,127
2,5,1,0.678141163917795,3.8503937007874,7.03925998258071,51,127,127
3,5,1,0.799823600515711,2.68503937007874,5.58470915786604,63,127,127
4,5,1,0.79536161620103,2.66393442622951,5.14940709622214,57,122,127
5,5,1,0.79577154120001,3.17391304347826,5.86144365656878,50,115,127
1,6,1,0.706150592108762,5.38582677165354,7.77741531463879,15,127,127
2,6,1,0.74410749609517,3.8503937007874,6.52010820643508,49,127,127
3,6,1,0.841758874156853,2.5,4.56609311657202,59,126,127
4,6,1,0.812785209635433,2.59836065573771,4.86792782521222,57,122,127
5,6,1,0.815258183446561,3.08695652173913,5.58803068679135,50,115,127
1,7,1,0.709390605774125,5.55905511811024,7.88500021220397,14,127,127
2,7,1,0.766930045732102,3.90551181102362,6.37416043568426,46,127,127
3,7,1,0.841029955994529,2.54761904761905,4.59727317384128,58,126,127
4,7,1,0.80639775160412,2.61475409836066,4.88473701827488,57,122,127
5,7,1,0.815258183446561,3.08695652173913,5.58803068679135,50,115,127
1,8,1,0.722448182052303,5.58267716535433,7.82133162232984,9,127,127
2,8,1,0.719545485513895,3.89763779527559,6.7526606013371,47,127,127
3,8,1,0.84940798315889,2.48412698412698,4.47124853839098,58,126,127
