cell,chloroplast,visual_start_time,start_time,end_time,move_time
1,1,8,3,15,12
1,2,11,5,31,26
1,3,5,2,12,10
1,4,7,7,26,19
1,5,6,4,28,24
1,6,5,3,16,13
1,7,9,12,25,13
1,8,14,11,31,20
1,9,12,6,28,22
1,10,17,8,28,20
1,11,16,15,18,3
1,12,19,22,32,10
1,13,13,12,27,15
1,14,10,10,22,12
1,15,11,8,33,25
1,16,18,18,35,17
1,17,19,19,35,16
1,18,29,29,59,30
2,1,7,7,12,5
2,2,5,4,48,44
2,3,9,8,75,67
2,4,24,19,58,39
2,5,27,24,70,46
2,6,30,30,70,40
2,7,40,39,76,37
2,8,10,7,13,6
2,9,14,14,51,37
2,10,5,5,26,21
2,11,9,11,23,12
3,1,4,3,8,5
3,2,9,8,16,8
3,3,3,2,4,2
3,4,6,1,14,13
3,5,9,8,19,11
3,6,7,7,17,10
3,7,11,14,15,1
3,8,4,4,11,7
3,9,4,1,6,5
3,10,22,15,51,36
3,11,20,17,52,35
3,12,15,6,28,22
3,13,12,12,29,17
4,1,3,3,3,0
4,2,8,8,16,8
4,3,5,2,46,44
4,4,8,8,21,13
4,5,4,9,11,2
4,6,14,14,37,23
4,7,17,15,31,16
4,8,14,7,36,29
4,9,7,7,19,12
4,10,19,19,38,19
4,11,24,24,33,9
5,1,9,9,18,9
5,2,13,9,15,6
5,3,14,10,27,17
5,4,5,5,31,26
5,5,17,17,35,18
5,6,22,21,46,25
5,7,13,12,31,19
5,8,25,18,31,13
5,9,16,16,32,16
5,10,15,6,37,31
5,11,26,26,51,25
5,12,20,20,31,11
5,13,9,8,15,7
5,14,1,8,9,1
6,1,1,1,17,16
6,2,6,13,20,7
6,3,12,12,12,0
6,4,6,6,20,14
6,5,7,10,18,8
6,6,11,11,13,2
6,7,11,4,14,10
6,8,30,32,33,1
6,9,10,10,12,2
6,10,11,11,17,6
6,11,18,18,32,14
6,12,39,39,45,6
6,13,14,14,39,25
6,14,35,,,
6,15,26,17,22,5
6,16,21,24,30,6
6,17,12,6,15,9
7,1,5,4,9,5
7,2,8,8,25,17
7,3,8,4,16,12
7,4,19,19,55,36
7,5,7,7,25,18
7,6,18,18,21,3
7,7,2,1,6,5
7,8,7,7,14,7
7,9,6,8,26,18
7,10,19,18,38,20
7,11,6,5,21,16
7,12,20,8,26,18
7,13,10,13,17,4
7,14,15,15,30,15
8,1,6,6,16,10
8,2,8,8,19,11
8,3,7,7,14,7
8,4,21,16,25,9
8,5,7,7,20,13
8,6,7,7,17,10
8,7,7,7,26,19
8,8,33,27,57,30
8,9,6,9,21,12
8,10,7,7,10,3
8,11,17,17,51,34
8,12,16,16,72,56
8,13,21,21,36,15
9,1,5,2,13,11
9,2,4,4,14,10
9,3,10,10,37,27
9,4,13,13,24,11
9,5,10,10,16,6
9,6,6,2,9,7
9,7,10,10,18,8
9,8,13,9,14,5
9,9,26,26,47,21
9,10,18,18,37,19
9,11,13,13,16,3
9,12,10,9,26,17
9,13,17,12,22,10
9,14,19,19,58,39
9,15,11,17,17,0
9,16,14,14,39,25
