time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,-0.16983014,-0.388810095,-0.317219525,-0.2769096,-0.2374121,-0.20748505,-0.186075,-0.16734775,-0.150098,-0.13368935,-0.1196654,-0.0901112,-0.06265564,-0.047395055,-0.03177633,-0.015466125,0.00349019800000002,0.02545258,0.05044749,0.0987584549999999,0.12800525,0.195557325,-0.388810095,-0.317219525,-0.2769096,-0.2374121,-0.20748505,-0.186075,-0.16734775,-0.150098,-0.13368935,-0.1196654,-0.0901112,-0.06265564,-0.047395055,-0.03177633,-0.015466125,0.00349019800000002,0.02545258,0.05044749,0.0987584549999999,0.12800525,0.195557325,,,,,,,,,,,,,,,,,,,,,
-27,0,0.205395149999999,-0.18816325,-0.109381925,-0.07358362,-0.03553402,-0.007365009,0.01433976,0.033340925,0.04963798,0.06527985,0.08094094,0.108973,0.1361856,0.1530538,0.1689328,0.18541375,0.2027056,0.2239106,0.2496545,0.2913877,0.33023785,0.390215645,-0.18816325,-0.109381925,-0.07358362,-0.03553402,-0.007365009,0.01433976,0.033340925,0.04963798,0.06527985,0.08094094,0.108973,0.1361856,0.1530538,0.1689328,0.18541375,0.2027056,0.2239106,0.2496545,0.2913877,0.33023785,0.390215645,,,,,,,,,,,,,,,,,,,,,
-26,0,-0.35862721,-0.47951541,-0.423011,-0.3825117,-0.3385331,-0.3094232,-0.2848294,-0.26681025,-0.2509421,-0.23250755,-0.2188804,-0.1897465,-0.160983,-0.1449529,-0.1286146,-0.11266025,-0.09432038,-0.07367416,-0.04535733,-0.00454963000000001,0.0323703325,0.106432505,-0.47951541,-0.423011,-0.3825117,-0.3385331,-0.3094232,-0.2848294,-0.26681025,-0.2509421,-0.23250755,-0.2188804,-0.1897465,-0.160983,-0.1449529,-0.1286146,-0.11266025,-0.09432038,-0.07367416,-0.04535733,-0.00454963000000001,0.0323703325,0.106432505,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.070264869999999,-0.321766535,-0.2543802,-0.2186056,-0.1793818,-0.1530333,-0.1326558,-0.11448725,-0.09615049,-0.08164281,-0.06667188,-0.03815815,-0.01053456,0.0039046825,0.01737951,0.034349025,0.05293458,0.07563528,0.09909937,0.140777,0.17274905,0.26100495,-0.321766535,-0.2543802,-0.2186056,-0.1793818,-0.1530333,-0.1326558,-0.11448725,-0.09615049,-0.08164281,-0.06667188,-0.03815815,-0.01053456,0.0039046825,0.01737951,0.034349025,0.05293458,0.07563528,0.09909937,0.140777,0.17274905,0.26100495,,,,,,,,,,,,,,,,,,,,,
-24,0,-0.0659671300000007,-0.342708335,-0.267804675,-0.22812705,-0.1833536,-0.1546899,-0.1316854,-0.1129205,-0.09623334,-0.08182828,-0.06679028,-0.03733945,-0.00838021,0.00534110549999999,0.0200781,0.03676795,0.05815512,0.07898298,0.1072151,0.15018185,0.185321075,0.25596909,-0.342708335,-0.267804675,-0.22812705,-0.1833536,-0.1546899,-0.1316854,-0.1129205,-0.09623334,-0.08182828,-0.06679028,-0.03733945,-0.00838021,0.00534110549999999,0.0200781,0.03676795,0.05815512,0.07898298,0.1072151,0.15018185,0.185321075,0.25596909,,,,,,,,,,,,,,,,,,,,,
-23,0,0.28721947,-0.14652849,-0.075641695,-0.03939578,-0.000310496699999997,0.029482785,0.05438754,0.0734536,0.08837543,0.10574855,0.122433,0.151142,0.178834,0.19397335,0.2102209,0.2301335,0.2497098,0.27147775,0.2987692,0.3416288,0.381979225,0.45874016,-0.14652849,-0.075641695,-0.03939578,-0.000310496699999997,0.029482785,0.05438754,0.0734536,0.08837543,0.10574855,0.122433,0.151142,0.178834,0.19397335,0.2102209,0.2301335,0.2497098,0.27147775,0.2987692,0.3416288,0.381979225,0.45874016,,,,,,,,,,,,,,,,,,,,,
-22,0,-0.3488439,-0.49364179,-0.420769325,-0.3746608,-0.331489,-0.3050023,-0.2843994,-0.264615,-0.247226,-0.2314607,-0.2158134,-0.1852705,-0.1581588,-0.14253985,-0.1256622,-0.10979375,-0.09144126,-0.06861778,-0.04186021,-0.00129555135000017,0.0364009450000001,0.11153853,-0.49364179,-0.420769325,-0.3746608,-0.331489,-0.3050023,-0.2843994,-0.264615,-0.247226,-0.2314607,-0.2158134,-0.1852705,-0.1581588,-0.14253985,-0.1256622,-0.10979375,-0.09144126,-0.06861778,-0.04186021,-0.00129555135000017,0.0364009450000001,0.11153853,,,,,,,,,,,,,,,,,,,,,
-21,0,0.23176301,-0.17876986,-0.101992425,-0.063030575,-0.02507494,0.005387007,0.0284952,0.047586175,0.06404502,0.07877536,0.09256656,0.121706,0.1510718,0.1665826,0.1835178,0.19999025,0.2187156,0.239989,0.2708194,0.3098681,0.3536933,0.429122625,-0.17876986,-0.101992425,-0.063030575,-0.02507494,0.005387007,0.0284952,0.047586175,0.06404502,0.07877536,0.09256656,0.121706,0.1510718,0.1665826,0.1835178,0.19999025,0.2187156,0.239989,0.2708194,0.3098681,0.3536933,0.429122625,,,,,,,,,,,,,,,,,,,,,
-20,0,-0.34181605,-0.49499512,-0.41037235,-0.3752987,-0.3305165,-0.30152765,-0.2787928,-0.2601715,-0.243333,-0.2265695,-0.2136714,-0.182287,-0.1529368,-0.13670675,-0.1214376,-0.10450875,-0.0830115,-0.058957185,-0.03103637,0.0097954269999999,0.0430356750000001,0.0988392745000001,-0.49499512,-0.41037235,-0.3752987,-0.3305165,-0.30152765,-0.2787928,-0.2601715,-0.243333,-0.2265695,-0.2136714,-0.182287,-0.1529368,-0.13670675,-0.1214376,-0.10450875,-0.0830115,-0.058957185,-0.03103637,0.0097954269999999,0.0430356750000001,0.0988392745000001,,,,,,,,,,,,,,,,,,,,,
-19,0,0.19900198,-0.17175911,-0.1125756,-0.077831945,-0.03632607,-0.0100559735,0.01191842,0.030912375,0.04792645,0.06347758,0.07983694,0.1078565,0.1358962,0.1521369,0.1704971,0.188019,0.2080206,0.2298834,0.2590714,0.3007396,0.34554705,0.430712585,-0.17175911,-0.1125756,-0.077831945,-0.03632607,-0.0100559735,0.01191842,0.030912375,0.04792645,0.06347758,0.07983694,0.1078565,0.1358962,0.1521369,0.1704971,0.188019,0.2080206,0.2298834,0.2590714,0.3007396,0.34554705,0.430712585,,,,,,,,,,,,,,,,,,,,,
-18,0,-0.33053215,-0.48173626,-0.40719685,-0.36484165,-0.3243791,-0.2975904,-0.274105,-0.25486275,-0.237621,-0.217989,-0.2034188,-0.1734005,-0.1466732,-0.13170745,-0.1170179,-0.0978442,-0.0808652199999999,-0.060098325,-0.03028492,0.0067577,0.0399873375,0.11133641,-0.48173626,-0.40719685,-0.36484165,-0.3243791,-0.2975904,-0.274105,-0.25486275,-0.237621,-0.217989,-0.2034188,-0.1734005,-0.1466732,-0.13170745,-0.1170179,-0.0978442,-0.0808652199999999,-0.060098325,-0.03028492,0.0067577,0.0399873375,0.11133641,,,,,,,,,,,,,,,,,,,,,
-17,0,0.0393250199999997,-0.27374223,-0.20064295,-0.16211555,-0.1203749,-0.093423635,-0.07330134,-0.05518355,-0.04170271,-0.02389636,-0.00959072999999998,0.01758725,0.0467217,0.062553015,0.07725892,0.095260125,0.1154584,0.136497,0.1604378,0.2010479,0.244612125,0.30760457,-0.27374223,-0.20064295,-0.16211555,-0.1203749,-0.093423635,-0.07330134,-0.05518355,-0.04170271,-0.02389636,-0.00959072999999998,0.01758725,0.0467217,0.062553015,0.07725892,0.095260125,0.1154584,0.136497,0.1604378,0.2010479,0.244612125,0.30760457,,,,,,,,,,,,,,,,,,,,,
-16,0,0,-0.29850006,-0.2194509,-0.18828595,-0.15032,-0.1181126,-0.0955234,-0.0763459,-0.05875471,-0.041890365,-0.02651404,0.00140207,0.03026546,0.04633122,0.06015821,0.07576525,0.09544894,0.1176996,0.1455103,0.1850215,0.218792375,0.276418840000001,-0.29850006,-0.2194509,-0.18828595,-0.15032,-0.1181126,-0.0955234,-0.0763459,-0.05875471,-0.041890365,-0.02651404,0.00140207,0.03026546,0.04633122,0.06015821,0.07576525,0.09544894,0.1176996,0.1455103,0.1850215,0.218792375,0.276418840000001,,,,,,,,,,,,,,,,,,,,,
-15,0,-0.58213243,-0.628050485,-0.5458706,-0.50960915,-0.4650812,-0.4361688,-0.413842,-0.39556825,-0.3740457,-0.3564321,-0.3376286,-0.306899,-0.2755344,-0.26039705,-0.2435854,-0.22855025,-0.2050748,-0.1786092,-0.1519101,-0.1137487,-0.07723017,-0.0174882229999998,-0.628050485,-0.5458706,-0.50960915,-0.4650812,-0.4361688,-0.413842,-0.39556825,-0.3740457,-0.3564321,-0.3376286,-0.306899,-0.2755344,-0.26039705,-0.2435854,-0.22855025,-0.2050748,-0.1786092,-0.1519101,-0.1137487,-0.07723017,-0.0174882229999998,,,,,,,,,,,,,,,,,,,,,
-14,0,-0.0405901100000001,-0.338404845,-0.249485775,-0.21390165,-0.1694638,-0.14471475,-0.1219698,-0.10112125,-0.08284956,-0.06563027,-0.05189502,-0.02047625,0.00662749000000002,0.0229658,0.03868044,0.0546233,0.07304424,0.095321495,0.1204999,0.1627736,0.2042668,0.27570481,-0.338404845,-0.249485775,-0.21390165,-0.1694638,-0.14471475,-0.1219698,-0.10112125,-0.08284956,-0.06563027,-0.05189502,-0.02047625,0.00662749000000002,0.0229658,0.03868044,0.0546233,0.07304424,0.095321495,0.1204999,0.1627736,0.2042668,0.27570481,,,,,,,,,,,,,,,,,,,,,
-13,0,0,-0.27754175,-0.219064775,-0.1827417,-0.14498,-0.11591445,-0.09478348,-0.076726775,-0.05836499,-0.042052955,-0.02799614,0.0006447145,0.03026558,0.045100055,0.06113895,0.079190225,0.09742128,0.1207841,0.1480346,0.1848498,0.21958585,0.308695305,-0.27754175,-0.219064775,-0.1827417,-0.14498,-0.11591445,-0.09478348,-0.076726775,-0.05836499,-0.042052955,-0.02799614,0.0006447145,0.03026558,0.045100055,0.06113895,0.079190225,0.09742128,0.1207841,0.1480346,0.1848498,0.21958585,0.308695305,,,,,,,,,,,,,,,,,,,,,
