time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0,-0.277850705,-0.21357975,-0.18329825,-0.1402982,-0.11377495,-0.09178932,-0.074780175,-0.05669539,-0.04217981,-0.02720756,-0.0004842465,0.02569756,0.03887313,0.05321736,0.07143595,0.08949352,0.11207665,0.1383047,0.1807391,0.215846725,0.29348255,-0.277850705,-0.21357975,-0.18329825,-0.1402982,-0.11377495,-0.09178932,-0.074780175,-0.05669539,-0.04217981,-0.02720756,-0.0004842465,0.02569756,0.03887313,0.05321736,0.07143595,0.08949352,0.11207665,0.1383047,0.1807391,0.215846725,0.29348255,,,,,,,,,,,,,,,,,,,,,
-27,0,-0.388475700000001,-0.55013264,-0.476975025,-0.44110515,-0.401141,-0.3735543,-0.3523036,-0.3349195,-0.3177204,-0.3041322,-0.2889684,-0.259396,-0.2311714,-0.21626,-0.2023126,-0.1865815,-0.1660162,-0.14627165,-0.1185992,-0.0786071200000001,-0.0453055525,0.0250642705000002,-0.55013264,-0.476975025,-0.44110515,-0.401141,-0.3735543,-0.3523036,-0.3349195,-0.3177204,-0.3041322,-0.2889684,-0.259396,-0.2311714,-0.21626,-0.2023126,-0.1865815,-0.1660162,-0.14627165,-0.1185992,-0.0786071200000001,-0.0453055525,0.0250642705000002,,,,,,,,,,,,,,,,,,,,,
-26,0,-0.221594490000001,-0.43967534,-0.370575475,-0.32770785,-0.287477,-0.26128875,-0.2393294,-0.22106575,-0.2051879,-0.19072255,-0.177236,-0.149772,-0.1214142,-0.1073731,-0.09309616,-0.074748,-0.05611218,-0.035008,-0.00788332700000001,0.0298046049999999,0.0600593275000002,0.1299416,-0.43967534,-0.370575475,-0.32770785,-0.287477,-0.26128875,-0.2393294,-0.22106575,-0.2051879,-0.19072255,-0.177236,-0.149772,-0.1214142,-0.1073731,-0.09309616,-0.074748,-0.05611218,-0.035008,-0.00788332700000001,0.0298046049999999,0.0600593275000002,0.1299416,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.19329359,-0.400846775,-0.337950875,-0.30723465,-0.266539,-0.2404829,-0.2212702,-0.20243225,-0.1865689,-0.17122085,-0.1553448,-0.1290005,-0.1020858,-0.08961585,-0.07335687,-0.056988875,-0.03843266,-0.0163308,0.01006441,0.049754045,0.081323585,0.151616085,-0.400846775,-0.337950875,-0.30723465,-0.266539,-0.2404829,-0.2212702,-0.20243225,-0.1865689,-0.17122085,-0.1553448,-0.1290005,-0.1020858,-0.08961585,-0.07335687,-0.056988875,-0.03843266,-0.0163308,0.01006441,0.049754045,0.081323585,0.151616085,,,,,,,,,,,,,,,,,,,,,
-24,0,0,-0.28074282,-0.211874725,-0.1796976,-0.1386677,-0.1125761,-0.09345646,-0.07305815,-0.05795442,-0.043034035,-0.02869968,-0.00198222,0.02401764,0.03883697,0.05431078,0.07091645,0.0889994,0.1122167,0.1385841,0.1799284,0.217932375,0.279286125,-0.28074282,-0.211874725,-0.1796976,-0.1386677,-0.1125761,-0.09345646,-0.07305815,-0.05795442,-0.043034035,-0.02869968,-0.00198222,0.02401764,0.03883697,0.05431078,0.07091645,0.0889994,0.1122167,0.1385841,0.1799284,0.217932375,0.279286125,,,,,,,,,,,,,,,,,,,,,
-23,0,-0.221765939999997,-0.434739925,-0.37127645,-0.33387275,-0.2887863,-0.26069275,-0.23863,-0.22184225,-0.2052608,-0.18939425,-0.1749176,-0.1465345,-0.1184062,-0.1052299,-0.09224173,-0.0745251,-0.05751812,-0.035134745,-0.010015183,0.03201295,0.0651352650000001,0.138947375,-0.434739925,-0.37127645,-0.33387275,-0.2887863,-0.26069275,-0.23863,-0.22184225,-0.2052608,-0.18939425,-0.1749176,-0.1465345,-0.1184062,-0.1052299,-0.09224173,-0.0745251,-0.05751812,-0.035134745,-0.010015183,0.03201295,0.0651352650000001,0.138947375,,,,,,,,,,,,,,,,,,,,,
-22,0,0.194638439999999,-0.138557775,-0.078593915,-0.04578288,-0.00864585499999999,0.02127394,0.04169356,0.05981715,0.07785553,0.09409566,0.1066722,0.1333265,0.1617584,0.1771381,0.1915067,0.209315,0.2295762,0.25002235,0.2794188,0.30944545,0.339557925,0.40014306,-0.138557775,-0.078593915,-0.04578288,-0.00864585499999999,0.02127394,0.04169356,0.05981715,0.07785553,0.09409566,0.1066722,0.1333265,0.1617584,0.1771381,0.1915067,0.209315,0.2295762,0.25002235,0.2794188,0.30944545,0.339557925,0.40014306,,,,,,,,,,,,,,,,,,,,,
-21,0,-0.194638439999999,-0.410234725,-0.34947865,-0.3170814,-0.2754744,-0.24998735,-0.2311718,-0.21153525,-0.1942104,-0.17634035,-0.163435,-0.133457,-0.1053936,-0.090970915,-0.07687447,-0.061212175,-0.0424570199999999,-0.01970917,0.00412591399999998,0.0430182099999999,0.073370095,0.133978605,-0.410234725,-0.34947865,-0.3170814,-0.2754744,-0.24998735,-0.2311718,-0.21153525,-0.1942104,-0.17634035,-0.163435,-0.133457,-0.1053936,-0.090970915,-0.07687447,-0.061212175,-0.0424570199999999,-0.01970917,0.00412591399999998,0.0430182099999999,0.073370095,0.133978605,,,,,,,,,,,,,,,,,,,,,
-20,0,-0.220579480000001,-0.436835445,-0.3674593,-0.33109035,-0.2922356,-0.26248905,-0.2407626,-0.2247005,-0.208088,-0.19483275,-0.1797568,-0.152202,-0.123029,-0.10880055,-0.09476471,-0.076319475,-0.05775818,-0.036514575,-0.01066465,0.0265276799999998,0.0580673125,0.12267659,-0.436835445,-0.3674593,-0.33109035,-0.2922356,-0.26248905,-0.2407626,-0.2247005,-0.208088,-0.19483275,-0.1797568,-0.152202,-0.123029,-0.10880055,-0.09476471,-0.076319475,-0.05775818,-0.036514575,-0.01066465,0.0265276799999998,0.0580673125,0.12267659,,,,,,,,,,,,,,,,,,,,,
-19,0,0.195994729999999,-0.143748175,-0.084719765,-0.050212565,-0.009497323,0.011198395,0.0355562,0.053363275,0.07026264,0.08794567,0.09930802,0.1263325,0.1546618,0.17096395,0.1878875,0.20491275,0.22459,0.2476955,0.2727273,0.31344765,0.3523399,0.412616645,-0.143748175,-0.084719765,-0.050212565,-0.009497323,0.011198395,0.0355562,0.053363275,0.07026264,0.08794567,0.09930802,0.1263325,0.1546618,0.17096395,0.1878875,0.20491275,0.22459,0.2476955,0.2727273,0.31344765,0.3523399,0.412616645,,,,,,,,,,,,,,,,,,,,,
