time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-48,0,-0.390522667093162,-0.52521876,-0.45297825,-0.41154525,-0.3667458,-0.3312546,-0.3056848,-0.28456875,-0.261882,-0.24194055,-0.2267428,-0.194347,-0.161928,-0.1465703,-0.1303007,-0.11076875,-0.08864526,-0.0654652049999999,-0.03429489,0.01623698,0.0596607925000001,0.129267085,-0.52521876,-0.45297825,-0.41154525,-0.3667458,-0.3312546,-0.3056848,-0.28456875,-0.261882,-0.24194055,-0.2267428,-0.194347,-0.161928,-0.1465703,-0.1303007,-0.11076875,-0.08864526,-0.0654652049999999,-0.03429489,0.01623698,0.0596607925000001,0.129267085,,,,,,,,,,,,,,,,,,,,,
-47,0,-0.222413873849495,-0.457070125,-0.3606633,-0.31792085,-0.2726446,-0.23876885,-0.2108156,-0.1888875,-0.1729672,-0.1546391,-0.136132,-0.1056835,-0.0750299,-0.05863257,-0.03998457,-0.02117155,-0.00284960399999999,0.02287463,0.05845562,0.10523565,0.14976605,0.22286162,-0.457070125,-0.3606633,-0.31792085,-0.2726446,-0.23876885,-0.2108156,-0.1888875,-0.1729672,-0.1546391,-0.136132,-0.1056835,-0.0750299,-0.05863257,-0.03998457,-0.02117155,-0.00284960399999999,0.02287463,0.05845562,0.10523565,0.14976605,0.22286162,,,,,,,,,,,,,,,,,,,,,
-46,0,-0.0749183476757214,-0.364711465,-0.2854468,-0.23969835,-0.1990238,-0.1690276,-0.1418622,-0.1215425,-0.1028595,-0.084464175,-0.0671358,-0.03563635,-0.00278759399999999,0.014459795,0.03014742,0.0481583,0.06925858,0.096807925,0.1256464,0.17333495,0.216501525,0.287657585,-0.364711465,-0.2854468,-0.23969835,-0.1990238,-0.1690276,-0.1418622,-0.1215425,-0.1028595,-0.084464175,-0.0671358,-0.03563635,-0.00278759399999999,0.014459795,0.03014742,0.0481583,0.06925858,0.096807925,0.1256464,0.17333495,0.216501525,0.287657585,,,,,,,,,,,,,,,,,,,,,
-45,0,-0.505178060374727,-0.597606645,-0.505559875,-0.46335565,-0.4175886,-0.38664395,-0.3628092,-0.34017625,-0.3197445,-0.3006951,-0.2824186,-0.2515685,-0.2209266,-0.203943,-0.1870278,-0.16760675,-0.1445592,-0.1212822,-0.0896487700000001,-0.04091091,-0.00638798999999996,0.0784999475000002,-0.597606645,-0.505559875,-0.46335565,-0.4175886,-0.38664395,-0.3628092,-0.34017625,-0.3197445,-0.3006951,-0.2824186,-0.2515685,-0.2209266,-0.203943,-0.1870278,-0.16760675,-0.1445592,-0.1212822,-0.0896487700000001,-0.04091091,-0.00638798999999996,0.0784999475000002,,,,,,,,,,,,,,,,,,,,,
-44,0,-0.153801823597052,-0.400189525,-0.32781365,-0.28385065,-0.2385719,-0.2103364,-0.1836602,-0.1621955,-0.1438536,-0.12516185,-0.1073532,-0.0735568,-0.0417493,-0.02560949,-0.008425479,0.010945775,0.0306179000000001,0.055301875,0.08503928,0.1308624,0.172974425,0.239157095,-0.400189525,-0.32781365,-0.28385065,-0.2385719,-0.2103364,-0.1836602,-0.1621955,-0.1438536,-0.12516185,-0.1073532,-0.0735568,-0.0417493,-0.02560949,-0.008425479,0.010945775,0.0306179000000001,0.055301875,0.08503928,0.1308624,0.172974425,0.239157095,,,,,,,,,,,,,,,,,,,,,
-43,0,-0.054996221743437,-0.3503613,-0.268067175,-0.2345745,-0.1913823,-0.16105375,-0.135979,-0.115511,-0.09557626,-0.076593575,-0.06072628,-0.028444,0.00242521200000001,0.019888425,0.03900607,0.056768925,0.07848266,0.10329945,0.137695,0.18501705,0.2241296,0.289242835,-0.3503613,-0.268067175,-0.2345745,-0.1913823,-0.16105375,-0.135979,-0.115511,-0.09557626,-0.076593575,-0.06072628,-0.028444,0.00242521200000001,0.019888425,0.03900607,0.056768925,0.07848266,0.10329945,0.137695,0.18501705,0.2241296,0.289242835,,,,,,,,,,,,,,,,,,,,,
-42,0,-0.40120832584261,-0.52423534,-0.446259375,-0.4070895,-0.3657475,-0.3351636,-0.3109278,-0.28770875,-0.2697421,-0.2521836,-0.2342892,-0.199741,-0.1638132,-0.1490175,-0.1292998,-0.110229,-0.0888872199999999,-0.06698489,-0.03711321,0.00806225199999998,0.0465968925,0.140483260000001,-0.52423534,-0.446259375,-0.4070895,-0.3657475,-0.3351636,-0.3109278,-0.28770875,-0.2697421,-0.2521836,-0.2342892,-0.199741,-0.1638132,-0.1490175,-0.1292998,-0.110229,-0.0888872199999999,-0.06698489,-0.03711321,0.00806225199999998,0.0465968925,0.140483260000001,,,,,,,,,,,,,,,,,,,,,
-41,0,-0.294272058217082,-0.503495245,-0.403420825,-0.357863,-0.3096251,-0.27932715,-0.2539864,-0.23382175,-0.2174472,-0.1982183,-0.1820632,-0.1494135,-0.117082,-0.10004375,-0.08121408,-0.06458245,-0.04437682,-0.019420785,0.01305395,0.0587076999999999,0.102877275,0.191395725,-0.503495245,-0.403420825,-0.357863,-0.3096251,-0.27932715,-0.2539864,-0.23382175,-0.2174472,-0.1982183,-0.1820632,-0.1494135,-0.117082,-0.10004375,-0.08121408,-0.06458245,-0.04437682,-0.019420785,0.01305395,0.0587076999999999,0.102877275,0.191395725,,,,,,,,,,,,,,,,,,,,,
-40,0,-0.32815945659869,-0.519293415,-0.427367175,-0.37770335,-0.3251368,-0.29433715,-0.269598,-0.247355,-0.2290183,-0.2137357,-0.198012,-0.166014,-0.131615,-0.11430595,-0.09711088,-0.077234325,-0.05602078,-0.031813345,-0.00218529300000003,0.0414372099999998,0.0798473225000001,0.164939875,-0.519293415,-0.427367175,-0.37770335,-0.3251368,-0.29433715,-0.269598,-0.247355,-0.2290183,-0.2137357,-0.198012,-0.166014,-0.131615,-0.11430595,-0.09711088,-0.077234325,-0.05602078,-0.031813345,-0.00218529300000003,0.0414372099999998,0.0798473225000001,0.164939875,,,,,,,,,,,,,,,,,,,,,
-39,0,-0.073855851058517,-0.392235085,-0.2887137,-0.24876015,-0.2066469,-0.175159,-0.1484598,-0.12677925,-0.107534,-0.089871655,-0.0713888,-0.04084645,-0.00574381,0.01011882,0.02745025,0.045635675,0.0695236800000001,0.09594637,0.1290921,0.17227865,0.2089839,0.302337105000001,-0.392235085,-0.2887137,-0.24876015,-0.2066469,-0.175159,-0.1484598,-0.12677925,-0.107534,-0.089871655,-0.0713888,-0.04084645,-0.00574381,0.01011882,0.02745025,0.045635675,0.0695236800000001,0.09594637,0.1290921,0.17227865,0.2089839,0.302337105000001,,,,,,,,,,,,,,,,,,,,,
-38,0,0.105992239192822,-0.27808946,-0.1952115,-0.1555511,-0.1085053,-0.07690181,-0.05228572,-0.03222355,-0.01324289,0.002527659,0.0197628,0.0527413,0.0831582,0.1003416,0.1185386,0.13704675,0.1595204,0.1831325,0.2133016,0.25294945,0.2967134,0.390265925,-0.27808946,-0.1952115,-0.1555511,-0.1085053,-0.07690181,-0.05228572,-0.03222355,-0.01324289,0.002527659,0.0197628,0.0527413,0.0831582,0.1003416,0.1185386,0.13704675,0.1595204,0.1831325,0.2133016,0.25294945,0.2967134,0.390265925,,,,,,,,,,,,,,,,,,,,,
-37,0,0.0727665677233089,-0.290705285,-0.2123175,-0.17370265,-0.1301743,-0.09741933,-0.07190154,-0.05276805,-0.03422883,-0.016041785,-0.00112778379999996,0.0335072,0.06675974,0.08461016,0.1023559,0.12189625,0.1425212,0.1701666,0.2002037,0.2446717,0.286957875,0.362509655,-0.290705285,-0.2123175,-0.17370265,-0.1301743,-0.09741933,-0.07190154,-0.05276805,-0.03422883,-0.016041785,-0.00112778379999996,0.0335072,0.06675974,0.08461016,0.1023559,0.12189625,0.1425212,0.1701666,0.2002037,0.2446717,0.286957875,0.362509655,,,,,,,,,,,,,,,,,,,,,
-36,0,0.225941102236662,-0.212773825,-0.1326707,-0.094698195,-0.05012385,-0.02002865,0.00415065000000002,0.02720395,0.0467812,0.06177804,0.07902474,0.110522,0.142862,0.1576727,0.1754714,0.19493375,0.216955,0.2392181,0.2744892,0.322721,0.3662082,0.441916505,-0.212773825,-0.1326707,-0.094698195,-0.05012385,-0.02002865,0.00415065000000002,0.02720395,0.0467812,0.06177804,0.07902474,0.110522,0.142862,0.1576727,0.1754714,0.19493375,0.216955,0.2392181,0.2744892,0.322721,0.3662082,0.441916505,,,,,,,,,,,,,,,,,,,,,
-35,0,0.107535405674581,-0.263367405,-0.192909725,-0.15406405,-0.1104896,-0.08138844,-0.05606526,-0.035603175,-0.01523341,-0.000341551650000025,0.0182665,0.05328095,0.08523238,0.102722,0.1222003,0.1426755,0.1636644,0.18520335,0.2163557,0.26415625,0.29726785,0.3685687,-0.263367405,-0.192909725,-0.15406405,-0.1104896,-0.08138844,-0.05606526,-0.035603175,-0.01523341,-0.000341551650000025,0.0182665,0.05328095,0.08523238,0.102722,0.1222003,0.1426755,0.1636644,0.18520335,0.2163557,0.26415625,0.29726785,0.3685687,,,,,,,,,,,,,,,,,,,,,
-34,0,0.172022966686447,-0.240648025,-0.16435465,-0.12174315,-0.07414291,-0.045144165,-0.0224929,0.00105052725,0.02087852,0.039789915,0.05654962,0.08991805,0.120754,0.13965965,0.1572688,0.17550225,0.195751,0.22195575,0.251895,0.29938705,0.34006555,0.40688168,-0.240648025,-0.16435465,-0.12174315,-0.07414291,-0.045144165,-0.0224929,0.00105052725,0.02087852,0.039789915,0.05654962,0.08991805,0.120754,0.13965965,0.1572688,0.17550225,0.195751,0.22195575,0.251895,0.29938705,0.34006555,0.40688168,,,,,,,,,,,,,,,,,,,,,
