time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-48,-0.248965438743628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47,-0.294330631994489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46,-0.0920653461695053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45,0.301165338574441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44,0.0625358240672647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43,0.294038701960716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42,0.0497593362518529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41,0.194712798493192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,0.613088925325535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39,-0.0834796157276312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-38,-0.371686169559872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37,-0.0650973952756022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36,-0.481110179489555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35,-0.0949016527218927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34,-0.0233026040760169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-33,-0.341466153356031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-32,0.208546952618669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31,0.128474359657378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-0.427383108821791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-29,-0.188931993591906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-28,0.494645888010229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,-0.258539751571133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,-0.276032415514656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,0.451806597263776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,-0.138904167735831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,0.232824786847575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,-0.480063349255937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,0.041592892553119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-0.359512706351781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,0.0304691045134096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,0.189998956982016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,-0.072263174308782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,0.045630799119996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,0.529902249117134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,-0.631160169843531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,0.103107248723219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,-0.382980043154879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,0.412833673579241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0.0338576714224974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,-0.0880144093793174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0.0403428088797746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,-0.105626198683002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,0.148429109188092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,-0.149030360929402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0.365266643103503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,-0.0109941424125566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0.240497280223657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-0.0995440351918333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0542057918045096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.396307501761582,-0.309036170701677,-0.23982581179516,-0.20441400945668,-0.163586469269949,-0.136040321735144,-0.114147516905128,-0.0953654397332801,-0.0195669229975663,0.0562315937381475,0.0750136709099959,0.0969064757400117,0.124452623274817,0.165280163461547,0.200691965800028,0.269902324706544,-0.309036170701677,-0.23982581179516,-0.20441400945668,-0.163586469269949,-0.136040321735144,-0.114147516905128,-0.0953654397332801,-0.0195669229975663,0.0562315937381475,0.0750136709099959,0.0969064757400117,0.124452623274817,0.165280163461547,0.200691965800028,0.269902324706544
2,-0.0333068374226286,-0.265947490724364,-0.20212335002532,-0.169467431307853,-0.131817248438647,-0.106414848801438,-0.0862258268422402,-0.0689054436658502,0.000994138901745986,0.0708937214693421,0.0882141046457322,0.10840312660493,0.133805526242139,0.171455709111345,0.204111627828812,0.267935768527856,-0.265947490724364,-0.20212335002532,-0.169467431307853,-0.131817248438647,-0.106414848801438,-0.0862258268422402,-0.0689054436658502,0.000994138901745986,0.0708937214693421,0.0882141046457322,0.10840312660493,0.133805526242139,0.171455709111345,0.204111627828812,0.267935768527856
3,0.168509120551118,-0.228387249154314,-0.168171229594885,-0.137361422855856,-0.101839688865599,-0.0778733435821832,-0.0588256520995305,-0.0424844288460237,0.0234635742917506,0.0894115774295248,0.105752800683032,0.124800492165684,0.1487668374491,0.184288571439358,0.215098378178386,0.275314397737815,-0.228387249154314,-0.168171229594885,-0.137361422855856,-0.101839688865599,-0.0778733435821832,-0.0588256520995305,-0.0424844288460237,0.0234635742917506,0.0894115774295248,0.105752800683032,0.124800492165684,0.1487668374491,0.184288571439358,0.215098378178386,0.275314397737815
4,0.305438291827036,-0.204084944108658,-0.146236586824473,-0.116638205511058,-0.0825131674521382,-0.0594891662827665,-0.04119042002904,-0.0254917250946041,0.0378632371829573,0.101218199460519,0.116916894394955,0.135215640648681,0.158239641818053,0.192364679876973,0.221963061190387,0.279811418474573,-0.204084944108658,-0.146236586824473,-0.116638205511058,-0.0825131674521382,-0.0594891662827665,-0.04119042002904,-0.0254917250946041,0.0378632371829573,0.101218199460519,0.116916894394955,0.135215640648681,0.158239641818053,0.192364679876973,0.221963061190387,0.279811418474573
5,-0.116708345185705,-0.198175907004136,-0.141856846092882,-0.113040936388209,-0.079818037981644,-0.0574027061527984,-0.0395877109957113,-0.0243040314281777,0.037376060229596,0.0990561518873697,0.114339831454903,0.13215482661199,0.154570158440836,0.187793056847401,0.216608966552074,0.272928027463328,-0.198175907004136,-0.141856846092882,-0.113040936388209,-0.079818037981644,-0.0574027061527984,-0.0395877109957113,-0.0243040314281777,0.037376060229596,0.0990561518873697,0.114339831454903,0.13215482661199,0.154570158440836,0.187793056847401,0.216608966552074,0.272928027463328
6,0.0372849902348804,-0.186005754963246,-0.130663313971818,-0.10234709639571,-0.0697003110111521,-0.0476736799031523,-0.0301676117569298,-0.0151489640573353,0.0454615428951004,0.106072049847536,0.121090697547131,0.138596765693353,0.160623396801353,0.193270182185911,0.221586399762019,0.276928840753447,-0.186005754963246,-0.130663313971818,-0.10234709639571,-0.0697003110111521,-0.0476736799031523,-0.0301676117569298,-0.0151489640573353,0.0454615428951004,0.106072049847536,0.121090697547131,0.138596765693353,0.160623396801353,0.193270182185911,0.221586399762019,0.276928840753447
7,-0.0391478461617663,-0.174877134620271,-0.120153522911939,-0.0921539322194421,-0.0598721973536719,-0.0380918640976167,-0.0207815456763191,-0.00593083381082417,0.05400193728657,0.113934708383964,0.128785420249459,0.146095738670757,0.167876071926812,0.200157806792582,0.228157397485079,0.282881009193411,-0.174877134620271,-0.120153522911939,-0.0921539322194421,-0.0598721973536719,-0.0380918640976167,-0.0207815456763191,-0.00593083381082417,0.05400193728657,0.113934708383964,0.128785420249459,0.146095738670757,0.167876071926812,0.200157806792582,0.228157397485079,0.282881009193411
8,0.0586292312963028,-0.159522710828001,-0.105189189622279,-0.0773891905514821,-0.045337572042908,-0.0237124972005733,-0.00652557324470875,0.00821927715669609,0.0677248249025898,0.127230372648484,0.141975223049888,0.159162147005753,0.180787221848088,0.212838840356662,0.240638839427458,0.29497236063318,-0.159522710828001,-0.105189189622279,-0.0773891905514821,-0.045337572042908,-0.0237124972005733,-0.00652557324470875,0.00821927715669609,0.0677248249025898,0.127230372648484,0.141975223049888,0.159162147005753,0.180787221848088,0.212838840356662,0.240638839427458,0.29497236063318
9,0.0640146821118801,-0.14426876819324,-0.0901803210614601,-0.0625057152815213,-0.0305986672066323,-0.00907113334955519,0.00803826812333874,0.0227166111370876,0.0819537561237887,0.14119090111049,0.155869244124239,0.172978645597133,0.19450617945421,0.226413227529099,0.254087833309038,0.308176280440817,-0.14426876819324,-0.0901803210614601,-0.0625057152815213,-0.0305986672066323,-0.00907113334955519,0.00803826812333874,0.0227166111370876,0.0819537561237887,0.14119090111049,0.155869244124239,0.172978645597133,0.19450617945421,0.226413227529099,0.254087833309038,0.308176280440817
10,0.354582743276907,-0.128399201222678,-0.0744643899485848,-0.0468683926704721,-0.0150519751637944,0.0064144106791801,0.0234752136488968,0.0381118634742123,0.0971807479531797,0.156249632432147,0.170886282257463,0.187947085227179,0.209413471070154,0.241229888576832,0.268825885854944,0.322760697129038,-0.128399201222678,-0.0744643899485848,-0.0468683926704721,-0.0150519751637944,0.0064144106791801,0.0234752136488968,0.0381118634742123,0.0971807479531797,0.156249632432147,0.170886282257463,0.187947085227179,0.209413471070154,0.241229888576832,0.268825885854944,0.322760697129038
11,0.408631548007067,-0.127090783124478,-0.0732521537431512,-0.0457053683782403,-0.013945689055762,0.00748241580369831,0.0245127942612498,0.0391233425641775,0.0980868895629803,0.157050436561783,0.171660984864711,0.188691363322262,0.210119468181723,0.241879147504201,0.269425932869112,0.323264562250439,-0.127090783124478,-0.0732521537431512,-0.0457053683782403,-0.013945689055762,0.00748241580369831,0.0245127942612498,0.0391233425641775,0.0980868895629803,0.157050436561783,0.171660984864711,0.188691363322262,0.210119468181723,0.241879147504201,0.269425932869112,0.323264562250439
12,-0.390765819505797,-0.143210520716809,-0.0894320528829253,-0.0619160494538415,-0.0301918597319771,-0.00878769953756377,0.00822364845926973,0.0228178703214058,0.0817155289744064,0.140613187627407,0.155207409489543,0.172218757486377,0.19362291768079,0.225347107402654,0.252863110831738,0.306641578665622,-0.143210520716809,-0.0894320528829253,-0.0619160494538415,-0.0301918597319771,-0.00878769953756377,0.00822364845926973,0.0228178703214058,0.0817155289744064,0.140613187627407,0.155207409489543,0.172218757486377,0.19362291768079,0.225347107402654,0.252863110831738,0.306641578665622
13,-0.240596372445854,-0.133137544594882,-0.079396687247107,-0.051899927398334,-0.0201979242921341,0.0011912666980216,0.0181907176458445,0.0327747328992629,0.0916312009110673,0.150487668922872,0.16507168417629,0.182071135124113,0.203460326114269,0.235162329220469,0.262659089069242,0.316399946417016,-0.133137544594882,-0.079396687247107,-0.051899927398334,-0.0201979242921341,0.0011912666980216,0.0181907176458445,0.0327747328992629,0.0916312009110673,0.150487668922872,0.16507168417629,0.182071135124113,0.203460326114269,0.235162329220469,0.262659089069242,0.316399946417016
14,0.17874007548553,-0.104639710502455,-0.050922357657996,-0.0234376239977679,0.00825051368324349,0.0296303497368508,0.0466223656776626,0.061200002357091,0.120030728463838,0.178861454570586,0.193439091250014,0.210431107190826,0.231810943244434,0.263499080925445,0.290983814585673,0.344701167430132,-0.104639710502455,-0.050922357657996,-0.0234376239977679,0.00825051368324349,0.0296303497368508,0.0466223656776626,0.061200002357091,0.120030728463838,0.178861454570586,0.193439091250014,0.210431107190826,0.231810943244434,0.263499080925445,0.290983814585673,0.344701167430132
15,-0.0446147335875011,-0.0794451205272023,-0.0257424535857991,0.00173476596376115,0.0334142403564054,0.0547882313304805,0.0717756017873729,0.0863492530552401,0.145163895302777,0.203978537550314,0.218552188818181,0.235539559275073,0.256913550249148,0.288593024641793,0.316070244191353,0.369772911132756,-0.0794451205272023,-0.0257424535857991,0.00173476596376115,0.0334142403564054,0.0547882313304805,0.0717756017873729,0.0863492530552401,0.145163895302777,0.203978537550314,0.218552188818181,0.235539559275073,0.256913550249148,0.288593024641793,0.316070244191353,0.369772911132756
16,0.317982524277939,-0.0437150328868556,0.00997845934471286,0.0374509846112739,0.0691250467962603,0.0904953861795232,0.107479854467796,0.122051015933401,0.180855610127324,0.239660204321246,0.254231365786852,0.271215834075124,0.292586173458387,0.324260235643373,0.351732760909934,0.405426253141503,-0.0437150328868556,0.00997845934471286,0.0374509846112739,0.0691250467962603,0.0904953861795232,0.107479854467796,0.122051015933401,0.180855610127324,0.239660204321246,0.254231365786852,0.271215834075124,0.292586173458387,0.324260235643373,0.351732760909934,0.405426253141503
17,-0.148650933434908,-0.0156285579222877,0.038059203079526,0.0655287959357016,0.0971994772393166,0.118567535557969,0.1355501909284,0.150119797071923,0.208918114478363,0.267716431884802,0.282286038028325,0.299268693398756,0.320636751717408,0.352307433021024,0.379777025877199,0.433464786879013,-0.0156285579222877,0.038059203079526,0.0655287959357016,0.0971994772393166,0.118567535557969,0.1355501909284,0.150119797071923,0.208918114478363,0.267716431884802,0.282286038028325,0.299268693398756,0.320636751717408,0.352307433021024,0.379777025877199,0.433464786879013
18,-0.0299537207932392,0.0323426766627455,0.0860268576839862,0.113494618826435,0.145163188281434,0.166529821745851,0.183511344687304,0.198079979307598,0.256874375953884,0.315668772600171,0.330237407220464,0.347218930161918,0.368585563626335,0.400254133081334,0.427721894223783,0.481406075245023,0.0323426766627455,0.0860268576839862,0.113494618826435,0.145163188281434,0.166529821745851,0.183511344687304,0.198079979307598,0.256874375953884,0.315668772600171,0.330237407220464,0.347218930161918,0.368585563626335,0.400254133081334,0.427721894223783,0.481406075245023
19,0.382599057547839,0.0962662952513719,0.149948240130685,0.177414857140707,0.209082107484291,0.230447850950499,0.24742866654959,0.261996694333119,0.32078864197836,0.379580589623601,0.39414861740713,0.411129433006221,0.432495176472429,0.464162426816013,0.491629043826035,0.545310988705348,0.0962662952513719,0.149948240130685,0.177414857140707,0.209082107484291,0.230447850950499,0.24742866654959,0.261996694333119,0.32078864197836,0.379580589623601,0.39414861740713,0.411129433006221,0.432495176472429,0.464162426816013,0.491629043826035,0.545310988705348
