time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16,chloroplast17,chloroplast18
-29,0,10.56522133,13.49660001,7.313553375,9.03074013,14.62080381,7.019416421,8.224311211,15.54285919,19.59638179,13.24477932,10.70984748,15.54617553,11.87784322,14.13347761,16.96253494,17.51105073,25.53445498,27.20017408
-28,0,10.42622214,13.54385706,7.500186466,8.790382314,14.42624237,6.762982411,7.921638922,15.44141111,19.61335967,12.91946613,11.0799258,15.6658202,12.04106581,14.34256829,16.92508478,17.51105073,25.24267477,27.28468736
-27,0,10.4793751,13.38558534,7.66221656,8.746657348,14.25018062,6.490485194,7.852331315,15.44141111,19.25746733,12.50185358,10.70984748,15.52300591,11.6611871,14.54942277,16.89152243,17.65469695,24.95094028,27.28468736
-26,0,10.46126083,13.33824067,6.946220642,8.625775747,13.99548475,6.429271365,7.912705238,15.64020705,18.81298201,12.89047803,11.30696032,15.00864865,11.74146997,14.13347761,16.89152243,17.51105073,24.91481562,27.65235781
-25,0,10.28292546,13.38515691,6.870311961,8.638139764,13.71488125,6.549560819,8.36252859,15.89896996,18.54089793,13.5480765,11.30696032,14.88940007,11.93157408,13.9266477,16.89152243,17.51105073,25.206899,27.28468736
-24,0,10.25780695,13.4936183,7.416453596,8.650768949,13.89237818,6.488014666,8.4709953,15.80751665,18.78617765,13.94492108,10.89324245,14.77380743,12.12967033,13.9266477,17.15469363,17.51105073,25.206899,27.00346002
-23,0,10.03939144,13.43137646,7.86693873,8.870810534,13.88166981,6.392847894,8.477149343,16.00096138,18.81308776,14.20567967,11.0799258,14.88940007,11.69231015,13.9266477,17.15469363,17.25403816,25.206899,27.09118712
-22,0,9.778289068,13.21414043,8.191708918,9.513997474,13.41333102,6.617472542,8.799753577,16.44619059,18.65836152,14.60245024,11.12290597,15.1593994,11.44167631,13.9266477,17.12929918,17.65469695,24.58917084,26.81096849
-21,0,9.579889361,13.27809704,8.177192004,9.494005377,13.43353085,6.494131194,9.063535664,16.79388324,18.2583837,15,11.12290597,15.04536378,11.3916174,13.9266477,17.12929918,17.76896145,24.58917084,26.44171298
-20,0,9.490707824,13.13003964,7.945754167,9.74140644,13.47217298,6.418208554,9.222742333,17.04112602,17.94651668,15.02809445,11.30696032,15.04536378,11.30696032,14.13799822,17.12929918,17.6298636,24.29683427,26.44171298
-19,0,9.424759714,13.08084684,8.053827138,10.00685797,13.55532476,6.428206962,9.637132764,17.37894557,18.08835311,14.77380743,11.49420576,15.59033603,11.01523928,13.9266477,16.83613082,17.89021489,24.33077083,26.35492765
-18,0,9.099249314,12.88821713,8.043389425,10.26698637,13.83124816,6.342671464,9.963706895,17.57260276,17.86981128,15.02809445,11.87784322,15.59033603,10.95029043,13.9266477,16.81433134,18.02774015,24.29683427,25.98861271
-17,0,8.987731828,12.98149012,8.137280144,10.28694088,14.66709479,6.4235934,10.10205129,18.05418016,17.79213801,15.17655634,12.09934336,15.54617553,10.6878063,13.9266477,16.79647919,17.76896145,24.29683427,25.98861271
