time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14
-29,0,5.004324325,4.16024206,11.49420576,4.430129142,13.76138639,20.13114391,6.470588235,20.12942278,14.82841622,15.79725827,19.17675683,14.47627427,7.633371526,10.57435564
-28,0,5,4.776923611,11.3995316,4.416359173,13.5480765,19.96364138,6.199666332,20.23419715,15.2343536,15.28345841,18.71252279,14.52950035,7.984552973,9.997116216
-27,0,5.588235294,5.20973821,11.55963325,4.117647059,13.3417198,19.88207481,6.360710539,20.61526632,15.48292394,14.42290233,17.98826239,14.35374574,7.769584321,9.652845538
-26,0,6.191939759,5.406944714,11.31491559,3.534481252,12.49443807,19.72338316,6.257446594,20.72478777,15.48292394,13.36057534,18.57532286,14.42067532,7.847252746,9.363665232
-25,0,6.779402585,4.991345736,11.24051493,2.962933159,11.74146997,19.41353643,6.160979977,20.83719322,16.29460513,12.88322366,18.85256038,14.33362168,7.742458248,9.022349931
-24,0,7.116076426,5.398629135,11.17647059,2.405693125,10.8113883,19.36920457,6.087104015,20.4135348,16.54298833,12.18009631,18.85256038,14.26863453,7.931145845,8.39446769
-23,0,7.440168225,5.192778501,11.0799258,1.822007944,10.53264227,19.2250121,6.087104015,20.0259381,17.04313167,11.72078871,18.54595007,14.11764706,7.56471139,7.523334621
-22,0,7.732271072,5.406944714,11.4627082,1.866245606,9.976914184,18.82534488,5.981267472,19.52489731,17.44755518,11.53610917,18.53676356,13.97001823,7.56471139,7.233314319
-21,0,7.440168225,5.608640469,11.68453483,1.635596572,9.324465485,18.42624441,5.706043955,18.98276486,17.8523923,11.53610917,18.24273894,13.82582707,7.769584321,7.233314319
-20,0,7.769584321,5.398629135,11.65859089,1.287517155,9.047004631,18.02774015,5.604562575,18.71252279,17.60308948,11.58833959,17.94306176,13.5480765,8.054318248,6.896322598
-19,0,8.060943124,5.406944714,11.68453483,1.287517155,8.770235189,18.15137489,5.790550781,18.95208597,17.35487608,11.35463385,17.94117647,13.41467746,7.769584321,6.896322598
-18,0,7.769584321,5.82257029,11.87784322,1.063390626,8.054318248,17.75566016,5.914103127,18.81081723,17.19760266,11.26978434,17.05882353,13.28503652,7.769584321,7.187264327
-17,0,7.440168225,5.398629135,11.0260385,0.211777984,7.901007176,18.15324306,5.62900647,18.93944205,16.94874495,11.26978434,17.06078423,13.15923417,7.769584321,7.187264327
-16,0,7.440168225,5.814574301,11.2271932,0.025884556,7.366938848,18.02774015,5.273087763,18.54595007,16.7010197,11.65859089,17.35487608,13.03735071,7.847252746,6.896322598
-15,0,7.732271072,6.024508714,11.2271932,0,7.629947384,18.56247677,5.107553104,18.28178521,16.8618658,11.44167631,17.06078423,13.07806984,7.931145845,6.564472501
-14,0,7.732271072,6.230519466,11.22186145,-0.176111922,7.660731324,18.4428555,5.624936393,18.15137489,16.8618658,11.44167631,17.06078423,13.62487082,6.910856901,5.898239596
-13,0,7.813541712,6.856261395,11.0260385,-0.212111589,7.073162207,18.48525268,6.474358355,18.68514638,17.02546497,11.43115026,17.65469695,13.79593566,6.976042983,3.823529412
-12,0,8.271193144,7.478354962,11.26978434,-0.176111922,6.764705882,19.20000286,6.764705882,18.68514638,17.19175632,11.44167631,17.37034926,13.69672362,6.601813484,4.122389658
-11,0,8.624982143,7.688032124,11.53610917,0.144957554,6.899957838,19.09791158,6.474358355,19.08354835,17.36067977,11.30696032,17.07646354,13.70597484,6.753671296,4.117647059
-10,0,8.910863048,7.688032124,11.58833959,0.39928228,6.870844747,19.83335462,7.384413689,19.20536416,17.53217615,11.76728566,17.0901738,13.26373494,6.590623821,3.534481252
-9,0,9.483614414,7.921107433,11.58833959,0.793445766,6.856261395,19.83335462,7.701660519,19.3425667,17.94306176,11.82394076,17.69475497,13.19017188,6.299631007,2.737027316
-8,0,9.770446505,7.701660519,11.41271345,1.183469424,6.653889857,19.74087158,7.971221807,19.08354835,18.18124764,11.82394076,17.10778879,12.83478581,6.26128807,2.498558108
-7,0,9.837645007,7.286234455,11.41271345,1.450503588,6.440382552,20.11220495,8.264673275,18.96833263,18.18124764,11.82394076,16.83613082,12.62007741,6.45549535,3.027849449
