time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16,chloroplast17
-29,0,4.361076743,7.073162207,6.534512677,7.370435791,7.701660519,11.68194225,13.76138639,20.85894664,12.70822732,12.88322366,20.40332104,14.74096964,10.69607537,25.09213074,23.9029518,22.11152157,23.53092779
-28,0,4.361076743,7.366938848,6.440382552,7.091061642,7.921107433,11.68194225,13.76138639,21.23423897,12.86628535,12.71066967,20.37776865,15.00864865,11.05031018,25.07056292,23.96722883,22.11152157,23.24907752
-27,0,4.566738804,7.366938848,6.635317909,6.910856901,8.558153614,11.3916174,13.52007234,21.23423897,12.62007741,12.30051902,20.33683124,15.00864865,11.05031018,24.7582532,23.6806181,21.8534405,23.4793375
-26,0,4.566738804,7.677801213,6.556989826,6.635317909,8.75137615,11.0556989,13.4709629,20.95744455,12.45979068,12.30051902,20.02766635,14.77380743,11.05031018,24.44850646,23.74840149,21.8534405,23.24907752
-25,0,4.361076743,7.660731324,6.199666332,6.534512677,8.972910024,11.0556989,13.23054967,20.85894664,12.21279399,12.06135884,20.00691946,14.77380743,11.20852439,24.43528471,23.81902726,21.8534405,23.24907752
-24,0,4.575776821,7.677801213,6.199666332,6.812403311,8.596381566,10.98009142,13.28503652,20.95744455,11.72337527,12.2353945,20.00691946,14.77380743,11.20852439,24.46465832,23.53395961,21.9964114,23.06628338
-23,0,4.575776821,7.677801213,6.421463435,6.534512677,8.826657969,10.98009142,13.05652409,20.58147308,11.55963325,12.18009631,19.70763299,15.04536378,10.92043365,24.17107398,23.53395961,21.48529003,23.06628338
-22,0,4.776923611,7.701660519,6.36451711,6.160979977,8.882851437,10.657449,12.99653946,20.40502362,11.55963325,12.00040708,19.41353643,14.93501553,10.98279785,23.87750049,23.24907752,20.68271941,23.02001262
-21,0,4.991345736,7.732271072,5.981267472,6.071488367,9.059315768,10.657449,12.70822732,20.30437548,11.48108909,11.76728566,19.11944039,14.93501553,10.63256737,23.87750049,23.24907752,20.28214491,22.79217236
-20,0,4.991345736,7.769584321,5.65339428,6.160979977,8.882851437,10.36465634,12.07402973,20.12942278,11.07185423,11.58833959,18.82352941,14.82841622,10.63256737,23.56728838,23.32400281,20.17241584,22.56558709
-19,0,4.991345736,8.060943124,5.65339428,5.882352941,8.882851437,9.752866122,11.49682784,20.50866601,11.00173001,11.35463385,18.82352941,14.82841622,10.28563113,22.9659333,23.32400281,20.32146265,22.72361116
-18,0,4.794603415,7.813541712,5.689871674,6.071488367,8.882851437,9.45970418,11.15238849,20.61526632,11.00173001,11.17647059,18.23715555,14.82841622,10.23177338,22.67207879,23.04007266,20.22219597,22.5027523
-17,0,4.829867628,7.769584321,5.981267472,5.882352941,8.882851437,9.486600419,10.92043365,20.45264957,11.00173001,11.24051493,18.23715555,14.17412472,10.52149977,22.36716898,23.04007266,20.37776865,22.5027523
-16,0,4.829867628,8.103923182,5.945761215,5.882352941,8.826657969,9.227513673,11.20852439,20.45264957,11.17647059,11.07185423,17.94117647,13.52007234,10.52149977,22.0843869,23.04007266,20.78356817,22.28327624
-15,0,5.060371398,8.153341044,6.238219514,5.604562575,8.558153614,9.227513673,10.92043365,20.56625154,11.41271345,10.90684386,17.6489686,13.24477932,10.47405463,21.48529003,22.75635468,20.78356817,22.28327624
-14,0,5.060371398,8.103923182,6.272804645,5.510334344,8.75137615,9.227513673,10.63256737,20.18100564,11.82394076,10.90684386,17.36067977,13.52007234,10.76481563,21.20289479,22.83571428,20.78356817,22.28327624
-13,0,5.120382667,8.103923182,6.314931801,5.604562575,8.75137615,9.194033544,10.63256737,20.18100564,11.65079983,10.66297289,17.37034926,13.52007234,10.76481563,21.2177467,22.83571428,21.03231955,21.67243306
