time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13
-29,0,9.779228855,6.635317909,8.811008096,14.49625108,9.324465485,6.040190811,14.20793161,25.32265931,11.28307122,9.132957384,15.97328998,19.56542708,16.76470588
-28,0,9.779228855,6.470588235,8.548579772,14.49625108,9.602578338,6.26128807,14.44070926,25.36684588,11.18448999,9.420765497,15.97328998,19.84728442,17.04313167
-27,0,9.486600419,6.586891532,8.685164852,14.58037291,9.602578338,5.846522891,14.44070926,25.36684588,11.09068161,9.552137502,15.68882988,20.04839606,17.04313167
-26,0,9.486600419,6.976042983,8.826657969,15.07770372,9.602578338,6.26128807,14.73001157,25.32265931,10.72085649,9.483614414,15.97328998,19.48253385,16.95071548
-25,0,9.194033544,6.976042983,9.206217266,15.32818964,9.602578338,6.071488367,15.30903118,25.32265931,10.72085649,9.312382424,15.97328998,19.40290413,16.76470588
-24,0,9.194033544,6.976042983,9.206217266,15.57983022,9.881306636,6.26128807,15.30903118,25.32265931,10.72085649,9.022349931,16.25801294,19.68661714,16.8618658
-23,0,8.901532115,7.366938848,9.206217266,16.0864098,9.976914184,6.899957838,15.30903118,25.07631585,10.27147645,9.022349931,15.90098589,19.68661714,16.96253494
-22,0,8.901532115,7.633371526,9.206217266,16.19688558,10.6298003,7.091061642,15.36220462,25.03170182,10.05755969,8.976005142,15.61552813,19.40290413,16.8618658
-21,0,9.194033544,7.633371526,9.074689546,16.59712912,10.90684386,7.069579135,15.36220462,25.07631585,9.942218583,9.266979807,15.33031725,19.04220626,16.96253494
-20,0,9.45970418,7.901007176,8.811008096,16.71297509,11.6611871,7.272144732,15.36220462,25.36684588,10.18342294,9.312382424,15.25998835,19.04220626,16.96253494
-19,0,9.752866122,7.901007176,8.945023048,16.71297509,11.93668241,7.688032124,15.59873682,25.36684588,10.43207014,9.363665232,15.54617553,18.75808003,17.06666527
-18,0,10.04606537,8.169772457,8.826657969,16.97237964,12.39277581,7.688032124,15.59873682,25.32265931,10.36465634,8.785931347,15.33031725,18.83623481,17.17420803
-17,0,10.33929978,8.290733562,8.570908229,16.97237964,12.5807578,7.701660519,15.84088675,25.32265931,10.33929978,8.209124455,15.1936987,18.83623481,17.17420803
-16,0,10.63256737,8.169772457,8.570908229,17.51105073,12.49443807,7.701660519,15.84088675,25.32265931,10.92586632,8.271193144,15.25998835,18.83623481,17.17420803
-15,0,10.61318758,8.326483246,8.570908229,17.51105073,12.41265896,7.921107433,16.13148817,25.32265931,10.59933012,7.984552973,15.83258361,19.04220626,17.17420803
-14,0,10.31954899,8.21894415,8.31674285,17.65469695,12.49443807,8.143472336,16.46857364,25.32265931,10.61318758,7.345936389,15.83258361,19.04220626,17.06666527
-13,0,10.31954899,8.117119483,8.31674285,17.54752766,12.77648616,7.921107433,15.88856577,25.36684588,10.90684386,6.772056527,15.7681217,19.32656998,17.06666527
-12,0,10.30542568,8.212398497,8.426720248,17.54752766,12.86144288,7.728873534,15.55038538,25.36684588,10.95029043,6.997692973,15.9959627,19.04220626,17.17420803
-11,0,10.59100974,8.212398497,8.685164852,17.54752766,12.86144288,7.506053897,15.84088675,25.1237356,10.95029043,6.709428963,15.9959627,18.96833263,17.06666527
-10,0,10.88507602,8.494199702,8.826657969,17.14492998,12.49443807,7.540591533,15.55038538,25.07631585,11.27244258,6.36451711,16.51888203,18.68332016,17.06666527
-9,0,11.17914416,8.58046633,9.227513673,17.14492998,12.30051902,7.769584321,15.50613884,25.07631585,11.59876595,6.314931801,16.46857364,18.68332016,17.06666527
-8,0,10.88235294,8.58046633,9.375705188,16.99795524,12.30051902,7.954538556,15.17441252,25.07631585,11.89065178,6.314931801,16.42218557,18.19057499,17.23848405
-7,0,10.59100974,8.494199702,9.375705188,17.39933266,12.39277581,8.001197709,15.17441252,25.07631585,11.89065178,5.846522891,16.75874322,18.5532967,17.13906973
-6,0,10.58823529,8.58046633,9.375705188,17.51105073,12.39277581,7.769584321,15.17441252,25.07631585,12.18261373,5.423555969,16.80838225,18.5532967,17.13906973
-5,0,10.88235294,8.58046633,9.123773181,17.65469695,12.76675095,7.954538556,15.17441252,25.07631585,12.18261373,5.141729206,16.80838225,18.35412651,17.32195995
-4,0,10.58823529,8.58046633,9.375705188,17.65469695,12.86628535,7.540591533,14.88287504,25.36684588,12.22033079,5.344414938,16.75874322,18.35412651,17.13906973
-3,0,10.88235294,8.861025492,9.629211901,17.80123229,12.97008279,7.540591533,14.55384722,25.32265931,12.51173605,5.423555969,16.46857364,18.07277489,17.23848405
-2,0,10.58823529,8.58046633,10.0316851,17.65469695,13.24477932,7.588785035,14.52063942,25.57267704,12.76675095,5.790550781,16.71297509,17.79174561,16.96253494
-1,0,10.58823529,8.672516823,10.0316851,17.51105073,13.24477932,7.588785035,15.13793267,25.57267704,12.73507463,5.510334344,16.67110238,18.16071426,16.96253494
0,0,10.58823529,8.672516823,10.43487266,17.25403816,13.14255355,7.588785035,15.43006469,25.53445498,12.70822732,5.510334344,16.96253494,18.16071426,16.79251006
1,1,10.88235294,9.047004631,10.58823529,17.25403816,13.14255355,7.588785035,15.72225289,25.53445498,12.41514276,5.510334344,16.96253494,18.16071426,16.79251006
2,1,10.88235294,8.873501665,10.33929978,17.65469695,13.24477932,7.823664327,15.6909204,25.24267477,12.41514276,5.989142172,16.67110238,18.16071426,16.6291486
3,1,10.88235294,9.148251142,10.49919074,17.80123229,13.52007234,7.588785035,15.1056896,25.206899,12.39277581,6.421463435,16.67110238,18.16071426,17.0136793
4,1,10.88235294,9.254848019,10.74559861,17.54752766,13.62487082,7.588785035,15.39828339,25.24267477,12.39277581,6.943494414,16.67110238,18.16071426,17.0136793
5,1,10.88235294,9.254848019,10.90684386,17.54752766,13.8992045,7.769584321,15.1056896,25.206899,12.3753594,6.896322598,16.6331477,18.25204162,17.0136793
6,1,10.88507602,9.148251142,10.90684386,17.80123229,13.79593566,8.001197709,15.1056896,25.206899,12.3753594,6.653889857,16.59913173,18.25204162,17.39933266
7,1,10.58823529,9.148251142,10.90684386,17.80123229,13.8992045,8.001197709,15.1056896,25.24267477,12.0689625,6.709428963,16.59913173,18.25204162,17.39933266
8,1,10.29694544,9.148251142,10.58823529,18.05589717,13.52007234,7.823664327,14.81314093,25.24267477,11.77502263,5.989142172,16.56907308,18.3467172,17.39933266
9,1,10.00288323,8.982193322,10.09199013,17.80123229,12.97008279,7.588785035,14.26189921,25.206899,11.78790964,5.790550781,16.56907308,18.3467172,17.12929918
10,1,9.708823235,8.599562378,9.685279686,17.54752766,12.69601054,7.176612673,13.67820742,25.206899,11.20051689,5.510334344,16.56907308,18.44470045,16.59112018
11,1,9.414765594,7.944518285,9.279101287,17.29481607,12.04106581,6.943494414,13.38647013,24.95094028,10.31954899,5.327676392,16.54298833,18.44470045,16.05561921
12,1,9.129896646,7.670976017,9.279101287,17.29481607,11.76728566,6.764705882,13.0948099,24.98990603,10.02592915,4.952308421,16.54298833,18.54595007,15.7889377
13,1,8.836039396,6.910856901,9.03160052,17.44755518,11.11217168,6.353093568,12.55367448,24.95094028,9.779228855,4.580292632,16.83613082,18.8217138,15.65116433
14,1,8.836039396,6.257446594,8.468533108,17.29481607,10.83872002,6.180339887,12.31051643,24.98990603,9.486600419,4.674637767,16.81433134,18.92498368,15.65116433
15,1,8.542193451,5.882352941,8.064254303,17.54752766,10.83872002,5.941808963,12.31051643,24.98990603,9.227513673,4.397967829,16.79647919,18.75808003,15.52089829
16,1,8.542193451,5.882352941,7.660731324,17.54752766,9.802622979,5.770490249,12.02074858,24.98990603,8.935714989,4.300816648,17.07646354,18.75808003,15.52089829
17,1,8.264673275,5.604562575,7.258038814,17.39933266,9.423764512,5.941808963,11.73113253,24.98990603,8.644015888,4.022271559,17.07646354,18.48525268,15.65744669
18,1,7.971221807,5.327676392,7.258038814,17.25403816,9.423764512,5.770490249,11.3916174,24.98990603,8.31674285,4.022271559,16.47864474,18.37634033,15.52089829
19,1,7.677801213,5.051769112,6.856261395,16.99795524,9.423764512,5.530890465,11.15238849,24.95094028,7.701660519,3.744746322,16.17851297,18.10274928,15.52089829
20,1,7.677801213,4.886903714,6.856261395,16.85395057,8.770235189,5.361126443,10.86327831,24.95094028,7.408837123,3.744746322,15.88235294,17.82966867,15.52089829
21,1,7.701660519,4.616342779,6.601813484,16.99795524,8.39446769,5.361126443,10.57435564,24.95094028,7.116076426,3.744746322,15.88235294,17.55711705,15.52089829
22,1,7.701660519,4.347205048,6.601813484,16.7428348,8.117119483,5.197021073,9.997116216,24.95094028,6.856261395,3.848005269,15.59033603,17.39933266,15.25998835
23,1,7.408837123,4.347205048,6.753671296,16.48871113,7.840517619,5.197021073,9.652845538,24.91481562,6.314931801,3.848005269,15.59663694,17.17420803,14.74096964
24,1,7.116076426,3.813720038,6.753671296,16.0864098,7.840517619,4.952308421,9.363665232,24.6227725,6.024508714,4.022271559,15.31329018,17.0136793,14.22593764
25,1,7.116076426,3.549671679,6.910856901,15.43006469,7.56471139,5.120382667,9.022349931,24.6227725,6.075394343,4.300816648,15.0345722,16.35747805,14.11764706
26,1,7.116076426,3.027849449,7.073162207,14.88287504,7.464482412,5.120382667,8.685164852,24.58917084,5.497981352,4.022271559,15.0345722,15.97328998,13.61325569
27,1,7.091061642,3.172025876,7.481820691,14.48293548,7.015704833,5.120382667,8.103923182,24.58917084,5.497981352,4.022271559,15.01945421,15.86370335,13.11392246
28,1,6.779402585,2.91936001,7.240383557,14.08368023,7.015704833,5.120382667,7.769584321,24.55845771,5.20973821,4.022271559,14.71466003,15.48292394,12.70822732
29,1,7.073162207,2.91936001,7.481820691,14.08368023,6.74262634,5.120382667,7.732271072,24.26581434,5.154515589,3.744746322,14.70807714,15.37919083,12.05375178
30,1,7.062409797,2.91936001,7.650478334,13.82582707,6.856261395,4.952308421,7.408837123,23.97320084,5.154515589,3.848005269,14.41399274,15.27919315,11.80593486
31,1,7.062409797,3.076194246,7.650478334,13.5690519,6.586891532,4.952308421,7.384413689,23.94482282,5.20973821,3.848005269,14.11990937,14.90461684,11.80593486
32,1,7.062409797,3.076194246,7.650478334,13.5690519,6.709428963,5.120382667,7.073162207,23.94482282,5.20973821,3.848005269,13.83271835,14.62670661,11.31491559
33,1,7.062409797,2.91936001,7.650478334,13.31340009,6.976042983,5.120382667,6.768381779,23.94482282,5.20973821,3.744746322,13.83271835,14.53171496,11.07185423
34,1,7.356442081,2.91936001,7.412322262,13.61325569,7.101788595,5.120382667,6.768381779,23.35910355,4.865005783,3.744746322,13.53874648,14.25291512,10.83052546
35,1,7.058823529,2.91936001,7.588785035,13.36293092,7.101788595,5.060371398,6.470588235,23.06628338,4.865005783,3.650259512,13.53874648,14.16058526,10.42085498
36,1,7.062409797,3.076194246,7.176612673,13.27320537,7.366938848,5.060371398,6.768381779,22.77349063,4.865005783,3.370734983,13.24477932,14.44070926,9.705882353
37,1,7.062409797,2.831486445,7.176612673,13.27320537,7.366938848,5.060371398,6.779402585,22.77349063,5.154515589,3.370734983,13.25662889,14.07234451,9.01000631
