time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16
-29,0,7.314365539,5.497981352,15.88856577,17.14297673,13.56672247,5.941808963,11.70526097,11.18716224,21.26060504,19.14632441,12.00040708,12.9122235,32.44546207,31.48244589,26.18895422,19.74087158
-28,0,6.870844747,5.444282885,15.73268653,17.37034926,13.56672247,6.118269513,11.70526097,11.18716224,21.18307914,19.48076711,12.2353945,12.9122235,32.61257612,31.48244589,26.18895422,20.11220495
-27,0,6.870844747,5.786541659,15.88856577,17.37034926,13.86025828,6.26128807,11.83679033,10.61318758,21.46732006,19.48076711,12.47217264,12.9122235,32.61257612,31.56652467,26.18201948,20.20675748
-26,0,6.870844747,6.075394343,15.48292394,17.14297673,13.86025828,6.26128807,11.9723977,10.90684386,21.75177451,19.89076481,12.71066967,12.51173605,32.44546207,31.48244589,26.18895422,20.4849165
-25,0,6.676137201,6.075394343,15.64068948,17.37034926,13.88088688,6.45549535,11.71302664,10.90684386,22.32129732,19.6515509,12.47217264,12.76918526,32.20326659,31.40054945,25.88375347,20.58147308
-24,0,7.091061642,6.024508714,15.80141731,17.37034926,14.17412472,6.26128807,11.71302664,10.92586632,22.32129732,19.6515509,12.47217264,12.65686002,31.72115067,30.91849674,25.58964929,20.58147308
-23,0,6.870844747,6.024508714,15.88856577,17.37034926,14.17412472,6.238219514,11.57529742,11.21919492,22.24996429,20.06220634,12.64705882,12.76918526,31.79410589,30.55297232,25.58964929,20.58147308
-22,0,6.653889857,6.075394343,16.29460513,17.55711705,14.17412472,6.238219514,11.83679033,11.51255159,22.4681319,20.23591114,12.88322366,13.16875907,31.46347179,30.47136864,25.88375347,20.95744455
-21,0,6.653889857,5.846522891,16.29460513,17.55711705,13.88088688,6.238219514,12.09934336,11.49420576,22.4681319,20.58992557,12.82508244,13.42641777,31.54641075,30.67563405,25.88375347,20.95744455
-20,0,6.870844747,5.846522891,16.29460513,17.55711705,13.86025828,6.238219514,12.2353945,11.78790964,22.69082893,20.41183279,12.64705882,13.82582707,31.63388489,30.52498025,25.88235294,21.3346181
-19,0,6.870844747,5.559601806,15.88856577,17.55711705,13.86025828,6.440382552,12.3629084,12.0689625,22.40349534,20.06220634,12.64705882,14.08368023,31.47651754,30.52498025,25.58964929,21.3346181
-18,0,6.870844747,5.559601806,15.73268653,17.37034926,14.15381195,6.440382552,12.3629084,12.06135884,22.4681319,19.6515509,13.05891933,14.08368023,31.63388489,30.52498025,25.29411765,21.3346181
-17,0,7.091061642,4.987015792,15.32818964,17.14297673,13.86025828,6.856261395,12.50185358,12.35294118,22.24996429,19.48076711,12.95081708,14.08368023,32.04014469,30.59917187,25.29554537,21.23423897
-16,0,7.286234455,4.701425001,15.17655634,16.95662601,13.86025828,6.45549535,12.53395125,12.64705882,22.03643575,19.31234183,13.12108447,14.34256829,31.95363222,30.67563405,25.29982813,20.4849165
-15,0,7.272144732,4.416359173,14.62670661,16.91719238,13.86025828,6.485661288,12.53395125,12.64950963,22.03643575,19.55486055,13.29449593,14.08368023,32.11596901,30.9594158,25.59389088,20.39139979
-14,0,7.272144732,4.416359173,14.88287504,16.91719238,13.86025828,6.899957838,12.80565984,12.64950963,22.11152157,19.79849588,13.4709629,14.08368023,32.27991936,30.9594158,25.59389088,20.39139979
-13,0,7.272144732,4.131867468,14.48293548,16.50279615,13.84419821,7.091061642,12.91946613,12.64950963,21.9065408,19.79849588,13.4709629,14.34256829,32.20326659,31.03751409,26.18201948,20.76343
-12,0,7.062409797,4.494124936,14.48293548,16.08846091,13.86025828,7.091061642,12.91946613,12.94117647,21.7064654,19.63575481,13.65039866,14.34256829,32.61257612,30.75435222,26.18201948,21.13678419
-11,0,7.062409797,4.494124936,14.74096964,15.86370335,13.56672247,7.286234455,13.19017188,12.94358711,21.7064654,19.47546614,13.65039866,14.34256829,32.85443802,30.8353115,26.18201948,21.3346181
-10,0,7.069579135,4.494124936,15.14008037,15.86370335,13.58767683,7.069579135,13.57603844,13.23766588,21.54401581,19.56718773,13.65039866,14.34256829,32.78124065,30.91849674,26.18201948,21.4378883
-9,0,6.870844747,4.494124936,14.74096964,16.05561921,13.56672247,7.272144732,13.46159391,13.52941176,21.54401581,19.56718773,13.88317755,14.48293548,32.78124065,30.8353115,25.88795467,21.92582404
-8,0,6.870844747,5.060371398,14.88287504,15.86370335,13.88088688,7.478354962,13.46159391,13.52941176,21.9065408,19.56718773,14.11764706,14.74096964,32.7124891,31.11783867,25.89495541,22.30862951
-7,0,6.870844747,5.344414938,14.88287504,16.05561921,13.88088688,7.478354962,13.35114999,13.24477932,21.7064654,19.31767836,13.94263787,14.22593764,32.7124891,31.40054945,25.60095889,22.42085181
-6,0,7.069579135,5.989142172,14.62670661,16.05561921,13.58767683,7.688032124,13.52007234,12.95081708,21.9883994,19.31767836,13.53174588,14.08368023,32.30195687,31.40054945,25.61085137,22.53575844
-5,0,7.069579135,6.635317909,14.62670661,16.2783497,13.58767683,7.688032124,13.79593566,13.24477932,22.35452241,19.31767836,13.36057534,14.34256829,32.1311153,31.3208501,25.31695313,22.53575844
-4,0,7.485285457,6.918117406,14.88287504,16.2783497,13.58767683,7.688032124,14.34927553,13.25662889,22.35452241,19.22858274,13.43580464,14.60245024,32.5412115,31.3208501,25.01297297,22.80617541
-3,0,7.901007176,6.841660082,14.62670661,16.2783497,13.32048412,7.688032124,14.34927553,13.58767683,22.63610546,19.22858274,13.43580464,14.86328706,32.5412115,31.68343959,25.30696472,23.07706892
-2,0,7.901007176,6.841660082,14.77380743,16.47058824,13.64343999,7.688032124,14.34927553,13.90606904,22.63610546,19.63575481,13.6016333,14.74096964,32.78124065,32.04715036,25.30696472,23.07706892
-1,0,8.117119483,6.841660082,14.77380743,16.69304578,13.90606904,7.688032124,14.62670661,14.17412472,22.63610546,19.55486055,13.36057534,14.34256829,32.5412115,32.04715036,25.29982813,23.19236933
0,0,8.117119483,7.126781252,14.37161624,16.50279615,13.90606904,7.894300128,14.72562663,14.17412472,22.917947,19.72163363,13.19254952,14.20567967,32.5412115,32.12995042,25.58964929,23.5793983
1,1,7.921107433,7.058823529,14.37161624,16.50279615,14.19892226,7.688032124,14.72562663,14.49181356,22.917947,19.89076481,13.36057534,14.20567967,32.5412115,32.12995042,25.88375347,23.84902834
2,1,7.921107433,7.345936389,14.37161624,16.50279615,14.19892226,8.103923182,15.00216251,14.49181356,22.72205098,19.89076481,13.36057534,14.20567967,32.5412115,32.2148908,25.88235294,24.23624096
3,1,7.728873534,7.345936389,14.22593764,16.50279615,14.49181356,7.901007176,15.10353822,14.78474125,22.81084153,19.6515509,13.36057534,14.20567967,32.1311153,32.58266552,26.1778579,24.23624096
4,1,7.540591533,7.412322262,14.37161624,16.50279615,14.78474125,7.688032124,15.10353822,14.78474125,22.81084153,19.82464452,13.12108447,14.46738911,32.37146368,32.951435,26.1778579,24.62423258
5,1,7.356442081,6.841660082,14.22593764,16.69304578,14.76067886,7.272144732,14.93501553,14.76067886,22.62358202,19.82464452,13.36057534,14.60245024,32.5412115,33.04136339,26.47608528,24.62423258
6,1,6.899957838,6.556989826,14.52063942,16.50279615,14.76067886,7.478354962,15.04536378,14.49181356,22.62358202,19.89076481,13.29449593,14.86328706,32.37146368,32.76177375,26.47196259,24.35582916
7,1,6.485661288,6.272804645,14.08368023,16.50279615,14.76067886,7.272144732,15.1593994,14.49181356,22.34503365,20.06220634,13.23766588,14.99351106,32.37146368,32.76177375,26.47058824,24.35582916
8,1,6.071488367,5.989142172,14.22593764,16.50279615,15.07770372,7.062409797,15.1593994,14.46738911,22.25155149,19.89076481,13.41937448,14.99351106,32.78124065,32.57575969,26.76470588,24.74516913
9,1,5.706043955,5.706043955,14.08368023,16.2783497,15.05399286,6.856261395,14.93501553,14.76067886,22.25155149,19.89076481,13.23766588,14.99351106,32.30195687,32.67117794,26.76606751,24.74516913
10,1,5.294117647,5.141729206,14.48293548,16.2783497,15.05399286,6.238219514,14.93501553,14.74096964,22.25155149,19.72163363,13.23766588,14.86546446,32.5412115,32.76864557,26.76606751,24.89311988
11,1,5.120382667,4.494124936,13.82582707,16.2783497,14.46738911,6.040190811,14.55384722,14.72562663,22.25155149,19.55486055,13.00615043,14.73001157,32.1311153,32.76864557,26.77015204,24.62423258
12,1,4.710337658,4.494124936,13.5690519,16.08846091,14.17412472,5.431851677,14.27985484,14.70807714,22.25155149,19.72163363,13.00615043,14.46738911,32.30195687,32.4916369,26.48295524,24.47786689
13,1,4.300816648,4.212035155,13.02775638,16.31490698,13.58767683,5.243573393,13.57603844,14.70807714,21.8808083,19.31234183,13.23766588,13.94492108,32.1311153,32.11596901,26.18895422,24.47786689
14,1,3.891892034,3.930721442,12.37038007,16.08846091,13.29449593,4.829867628,13.57603844,14.11990937,21.97236828,19.31234183,12.77648616,13.94492108,32.06349177,32.39344724,26.18201948,24.47786689
15,1,3.650259512,3.848005269,11.83679033,15.90098589,13.02775638,4.647776157,13.19017188,13.82582707,22.06681468,19.48076711,12.3629084,13.68515315,31.72115067,32.39344724,26.18201948,24.08792303
16,1,3.48365006,3.564835164,11.71302664,15.48714679,12.76675095,4.88252801,13.07806984,13.24477932,21.78893538,19.07097349,12.1347196,13.42641777,31.9618245,32.39344724,25.88795467,23.96722883
17,1,3.240544545,3.488746876,11.31491559,15.30264101,12.18261373,4.647776157,12.42259202,12.66910388,21.23423897,19.31234183,11.68453483,13.16875907,31.9618245,32.01911972,25.88795467,23.4626265
18,1,3.48365006,3.848005269,11.31491559,15.1207428,11.59876595,4.710337658,12.14985851,12.66910388,21.3346181,19.31234183,11.26978434,12.76918526,31.31132207,32.20326659,25.88375347,23.07706892
19,1,3.729895341,3.488746876,10.78400925,14.94152351,11.30696032,4.544106317,11.76728566,12.3753594,21.3346181,18.90327973,11.04761514,12.51173605,30.9762513,32.11130737,25.88235294,22.96438664
20,1,3.729895341,3.422247684,10.65468633,14.76505602,11.0556989,4.710337658,11.38633915,12.08162776,21.3346181,18.42070477,11.04761514,12.25545899,30.32474162,31.74116894,25.58964929,22.47285543
21,1,3.324100999,3.134892168,10.52985739,14.35374574,10.76481563,4.710337658,11.11217168,12.08162776,21.4378883,18.18124764,10.63256737,12.00040708,29.9950565,31.20037469,25.58964929,22.26424582
22,1,3.324100999,2.848037685,10.40963164,14.11764706,10.47405463,4.710337658,11.11217168,11.78790964,21.2704855,17.770861,10.41243824,11.59876595,29.75071879,30.8353115,25.29554537,22.26424582
23,1,3.287648708,2.848037685,10.14063256,13.94263787,10.43207014,4.710337658,10.73185779,11.51255159,21.16324848,17.53217615,10.41243824,11.34405175,29.5872849,30.47136864,25.29982813,21.78893538
24,1,3.172025876,2.561741254,9.872584564,13.70597484,10.6878063,4.544106317,10.35339192,11.51255159,21.05888992,17.36067977,10.21756861,11.34405175,29.17971028,30.39202107,25.00576646,21.60098601
25,1,3.172025876,2.276068751,9.73232916,13.29449593,10.98009142,4.300816648,10.25447351,11.24317797,21.05888992,17.19175632,9.997116216,11.34405175,28.93460024,30.31494484,24.43528471,21.23094134
26,1,2.91936001,2.276068751,9.602578338,13.05891933,10.98009142,4.136602686,9.976914184,10.98009142,21.05888992,17.19175632,9.997116216,11.34405175,29.01861896,29.95548331,24.44850646,21.14340277
27,1,3.324100999,2.561741254,9.342570989,12.82508244,11.24317797,3.979022072,9.881306636,10.98009142,20.58147308,17.02546497,9.779228855,11.19784684,28.85931611,29.95548331,24.15475947,20.86229169
28,1,3.076194246,2.561741254,8.945023048,12.64705882,11.24317797,4.384150667,9.790930542,10.6878063,20.12942278,17.02546497,9.581829713,10.79770471,28.4532158,29.88240254,24.15475947,20.49509757
29,1,2.91936001,2.848037685,9.083905757,12.41265896,10.95029043,4.384150667,9.510466334,10.6878063,20.02766635,16.61714685,9.363665232,10.5409939,28.4532158,29.88240254,24.14140445,20.41183279
30,1,3.172025876,2.848037685,9.206217266,12.82508244,11.24317797,4.230796957,9.423764512,10.39559097,20.40502362,16.61714685,9.363665232,10.5409939,28.296404,29.88240254,23.84752902,20.33170941
31,1,3.172025876,2.787177821,9.074689546,12.64705882,10.95029043,4.136602686,9.423764512,10.39559097,19.75135871,16.61714685,9.363665232,10.28563113,28.14146046,29.81165338,23.84752902,20.04839606
32,1,3.172025876,2.787177821,8.948124355,12.41265896,11.24317797,3.891892034,9.423764512,10.14063256,19.75135871,16.5409805,9.581829713,10.0316851,27.73702495,29.52595433,23.86102004,19.76533463
33,1,3.172025876,3.076194246,8.811008096,12.41265896,10.98009142,4.136602686,9.142135624,10.18342294,19.47546614,16.78258407,9.387735069,10.0316851,27.73702495,29.52595433,23.58393819,19.68661714
34,1,2.770496949,3.027849449,8.945023048,12.41265896,10.6878063,4.300816648,9.230553416,9.892928119,19.37452865,16.78258407,9.166581857,10.0316851,27.73702495,29.10369897,23.58393819,19.32656998
35,1,2.63007163,3.027849449,9.083905757,12.18009631,10.6878063,4.136602686,9.142135624,9.942218583,18.99899075,16.71098298,9.387735069,9.884212858,27.64175898,28.88485489,23.27356475,19.2535625
36,1,2.498558108,3.027849449,9.227513673,12.18009631,10.72360753,4.136602686,8.861025492,9.997116216,18.90327973,16.71098298,9.387735069,9.884212858,27.55152955,28.81713495,22.99684856,19.40290413
37,1,2.498558108,3.027849449,9.227513673,11.76728566,10.72360753,4.136602686,8.776515798,9.997116216,18.90327973,16.71098298,9.387735069,9.741134219,27.55152955,29.0389559,23.31025588,19.11944039
