time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13
-29,0,9.33955499,16.48871113,8.62498214,17.94924679,12.55367448,16.8618658,15.20012333,12.69601054,5.65745349,26.48707649,23.19236933,22.28327624,22.11152157
-28,0,9.20621727,16.20912515,8.20912445,17.60225228,12.55367448,16.76470588,15.00432479,12.42259202,5.65745349,26.15565343,23.04161514,22.28327624,21.8534405
-27,0,9.20621727,15.9154667,7.92110743,17.41983991,11.9723977,16.20912515,14.98269147,12.31551298,5.65745349,25.82627963,22.92259444,22.5027523,21.59610763
-26,0,9.20621727,15.9154667,7.92110743,17.24775099,11.92901933,16.30881845,14.98269147,12.04106581,5.24357339,25.53445498,22.92259444,22.917947,21.33954491
-25,0,9.20621727,15.9154667,7.98455297,17.07796351,11.59876595,16.0330108,14.78474125,11.28307122,5.0603714,25.53445498,22.65331594,22.917947,21.23094134
-24,0,9.07468955,15.62182134,7.69825479,16.89954752,11.89065178,15.75770587,14.58920683,11.11217168,4.829867628,25.206899,22.2658322,22.917947,20.82882165
-23,0,9.07468955,15.31329018,7.69825479,16.80150159,10.98009142,15.59033603,14.35151076,11.22186145,4.379540423,24.91481562,22.2658322,22.5027523,20.82882165
-22,0,8.68200394,14.72562663,7.48528546,16.6680148,10.6878063,15.20868634,14.55384722,11.06647092,4.602839834,25.206899,22.14978318,22.5027523,20.57470907
-21,0,8.41705262,14.71466003,7.48528546,16.50845271,10.6878063,14.55384722,14.54942277,10.52149977,4.647776157,25.206899,22.03643575,22.28327624,20.17241584
-20,0,8.15334104,15.00864865,7.20145207,16.41376066,11.0556989,14.27985484,14.15155364,10.26014326,4.235481452,24.88154237,21.92582404,22.5027523,19.91855245
-19,0,8.0244646,15.31329018,7.00129751,16.23644744,11.0556989,13.96317685,13.95405116,10.14063256,4.647776157,24.88154237,21.65296649,22.72361116,19.91855245
-18,0,7.7594188,15.31329018,6.7205052,16.25604178,11.34669792,13.84649335,14.17412472,9.37570519,4.829867628,24.88154237,21.54401581,22.72361116,19.91855245
-17,0,7.63337153,15.34733007,6.35309357,16.03368555,11.34669792,13.30631332,13.98141506,8.0642543,5.43185168,24.58917084,21.38056588,22.5310457,19.66558338
-16,0,7.67097602,15.0345722,6.07148837,15.54370842,11.27244258,13.07806984,13.98141506,7.91441082,5.40694471,24.29683427,21.38056588,21.89367762,19.51607763
-15,0,7.39837583,15.0345722,6.07148837,15.22533367,10.98009142,13.07806984,13.79133276,7.51296905,5.60864047,24.29683427,20.9524452,21.47875691,19.51607763
-14,0,7.39837583,15.32818964,6.35309357,15.05901355,11.30696032,12.80565984,13.56672247,7.11250605,5.1927785,24.29683427,20.9524452,21.28694467,19.41353643
-13,0,7.51296905,15.34733007,6.35309357,14.75893457,11.59876595,13.57603844,13.79133276,6.85626139,5.40694471,24.00453371,20.9524452,21.28694467,19.00980192
-12,0,7.90100718,15.3706995,6.19966633,14.41360982,11.63780662,13.42641777,13.65039866,6.71312221,5.62493639,23.74689693,20.68271941,20.87232426,19.16244047
-11,0,8.0244646,15.66372714,6.13381955,14.12506926,11.30696032,13.15923417,13.29449593,6.3149318,5.20973821,23.45502735,20.5340874,20.42714676,19.47546614
-10,0,7.7594188,15.39828339,6.07539434,13.94270922,10.76481563,13.15923417,13.19254952,6.3149318,5.1927785,23.49300284,20.14490875,20.23419715,19.63575481
-9,0,7.23331432,15.13793267,5.55960181,13.86187071,10.47405463,12.50185358,13.19254952,6.05585066,4.991345736,22.91019955,20,19.57246891,19.55486055
-8,0,7.11250605,15.07770372,5.55960181,13.6044306,10.14063256,11.72337527,12.78378407,6.18033989,4.991345736,22.61888427,20,19.55486055,19.31234183
-7,0,6.97243085,14.78474125,5.20973821,13.67017321,10.1034495,12.11198613,12.54135006,6.31875377,4.991345736,22.3703297,19.7338777,19.55486055,19.31234183
-6,0,6.7536713,14.46738911,4.701425001,13.4025257,10.1034495,11.57790667,12.3753594,6.58689153,4.991345736,22.61888427,19.7338777,19.77057357,18.90327973
-5,0,6.50447483,14.15381195,4.416359173,13.06030394,10.43207014,11.83679033,12.13219515,6.85626139,5.20973821,22.57970519,19.4683964,20.01210779,18.57532286
-4,0,6.25744659,13.86025828,4.060542236,12.89689871,10.47405463,11.83679033,11.89065178,7.01570483,4.991345736,22.87142998,19.3425667,19.8542464,18.16818305
-3,0,6.01273249,13.88088688,3.655258217,12.45022735,10.76481563,11.83679033,12.13219515,6.63531791,5.1927785,22.83571428,19.21965515,20.04321524,17.8523923
-2,0,5.60456257,13.61325569,3.318903308,12.09341384,11.0556989,11.71302664,11.89065178,7.00129751,4.776923611,22.54361122,18.95208597,20.04321524,17.69856633
-1,0,5.19702107,13.93578659,2.962933159,11.74873465,11.0556989,11.71302664,11.82394076,7.00129751,4.776923611,22.57970519,19.21965515,20.01210779,17.44755518
0,0,5.28991511,13.35114999,3.610165393,11.26978434,10.76481563,11.45482439,11.82394076,7.89094529,4.602839834,22.54361122,19.07636352,19.98788634,16.89152243
1,1,4.886903714,13.29449593,3.574929257,10.98279785,10.72360753,10.94215322,11.94944651,7.62994738,3.774372877,22.54361122,18.83079047,19.79151825,17.29481607
2,1,5.26044914,13.00134559,3.867537313,10.92043365,10.72360753,10.6878063,11.94944651,7.25803881,3.744746322,22.83571428,19.09970638,19.79151825,17.29481607
3,1,5.39446885,12.73507463,3.549671679,10.63256737,10.47405463,10.79770471,11.72078871,7.62994738,3.734848473,23.09554879,19.09970638,19.57246891,17.29481607
4,1,4.865005783,12.73507463,3.534481252,10.57435564,10.8113883,10.657449,11.72078871,7.89094529,3.529411765,23.35910355,18.98276486,19.57246891,17.25403816
5,1,4.602839834,13.02775638,3.256275793,10.86327831,11.20852439,10.5409939,11.90856747,7.49567399,3.113596602,23.12785933,19.2535625,19.77057357,17.11170133
6,1,4.207338731,13.05891933,2.669649888,11.10143023,11.26978434,10.5409939,11.44167631,7.36693885,2.697795487,23.38806709,19.2535625,19.79151825,17.11170133
7,1,4.079617083,13.35114999,2.376433061,10.76481563,11.55702111,10.79770471,11.24317797,7.24391664,2.305730793,23.09554879,19.14095,19.59709944,16.97237964
8,1,3.813720038,13.38647013,2.376433061,10.47405463,11.55702111,10.657449,11.44167631,6.85626139,1.941425718,23.38806709,18.86887478,19.4046765,16.97237964
9,1,3.422247684,13.35114999,2.083290929,9.81138625,10.98279785,9.88421286,11.44167631,6.47058824,1.477269278,23.09554879,18.75808003,18.767181,17.23264846
10,1,3.033235461,12.76675095,2.083290929,9.45970418,10.69607537,9.37570519,11.04761514,6.08710401,1.706914265,22.5106145,19.03140967,18.57532286,16.83613082
11,1,2.764928696,12.14985851,1.790233165,9.16658186,10.40963164,8.71988681,10.6657341,5.98126747,1.294392517,22.18799094,19.41353643,18.57532286,16.96647335
12,1,3.033235461,12.14985851,1.771096725,8.85166099,9.83764501,8.0642543,10.70984748,5.79055078,1.294392517,22.5106145,19.41353643,18.79991568,16.96647335
13,1,2.764928696,10.98009142,1.771096725,8.26467328,9.5521375,7.81354171,10.29694544,5.70604395,1.120191778,22.21820071,19.14095,18.79991568,16.57308332
14,1,2.764928696,10.39559097,1.764705882,8.28747882,9.34257099,7.97122181,10.29694544,5.34441494,0.95542845,22.21820071,18.86887478,18.79991568,16.30881845
