time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11
-29,0,2.515842552,9.36065367,8.58046633,12.02074858,2.669649888,24.85692526,21.03730356,15.25998835,4.723691326,21.60261194,20.34195203
-28,0,2.370567109,9.53131686,8.31674285,12.3629084,2.770496949,24.95382837,20.81877217,15.12504164,4.723691326,21.60261194,20.45264957
-27,0,2.63007163,9.19403354,7.97122181,12.07402973,3.172025876,25.05329752,20.60175437,15.12504164,4.117647059,21.282008,20.99740471
-26,0,2.63007163,9.36065367,7.67780121,12.31051643,3.287648708,24.88009487,20.18615811,15.25998835,4.117647059,21.57495764,21.1086365
-25,0,2.498558108,9.19403354,7.97122181,12.3629084,2.892004626,24.60524596,19.97057091,15.12504164,4.416359173,21.30997022,20.83719322
-24,0,2.647058824,9.36065367,7.97122181,12.6519601,2.63007163,24.60524596,20.18615811,15.12504164,4.411764706,21.282008,20.34195203
-23,0,2.538826834,9.36065367,7.66073132,12.6519601,2.770496949,24.16514249,20.38628897,14.86328706,4.416359173,21.30997022,20.12942278
-22,0,2.071067812,8.95122497,7.07316221,12.8444839,2.91936001,24.16514249,20.60175437,14.73001157,4.710337658,21.34118698,19.75135871
-21,0,2.071067812,8.88285144,6.77940259,12.8444839,2.515842552,24.05668008,20.60175437,14.86328706,4.705882353,21.30997022,19.27673499
-20,0,1.790233165,8.88285144,6.76838178,12.55367448,2.892004626,23.78298469,20.60175437,14.33585872,4.705882353,21.30997022,19.18212328
-19,0,1.706914265,8.71042591,6.47435835,12.26297717,2.892004626,23.78298469,20.18615811,14.46738911,4.705882353,21.34118698,19.4613246
-18,0,1.885117595,8.71042591,6.17647059,12.26297717,3.156132132,23.40177635,20.18615811,14.60245024,4.710337658,21.04892921,18.99899075
-17,0,1.84100197,8.47174411,5.88235294,12.8444839,2.63007163,23.02155621,19.97057091,14.73001157,5.0172861,20.79195443,19.47546614
-16,0,2.234337574,8.06094312,5.58823529,13.0948099,3.027849449,22.54047038,19.79151825,14.73001157,5.0172861,20.50018658,19.47546614
-15,0,2.234337574,7.89094529,5.58823529,13.0948099,3.027849449,22.26424582,19.79151825,14.73001157,5.31091067,20.50018658,18.92498368
-14,0,2.234337574,7.56471139,5.59231947,12.94117647,3.027849449,22.09237051,19.98788634,14.73001157,5.31091067,20.17241584,18.65042411
-13,0,2.107674102,7.24038356,6.18033989,12.70822732,3.027849449,21.9883994,19.77057357,14.20567967,5.29831847,19.88033645,18.92498368
-12,0,2.764928696,7.00129751,6.76470588,12.94117647,3.027849449,21.9883994,19.97057091,14.48293548,5.29831847,19.91681663,18.65042411
-11,0,2.764928696,7.17661267,6.76470588,12.89047803,3.027849449,21.88724373,20.38628897,14.62670661,5.29831847,19.62521846,18.92498368
-10,0,3.033235461,7.17661267,7.0624098,12.89047803,2.892004626,21.78893538,20.60175437,13.97001823,5.29411765,19.62521846,19.30522464
-9,0,3.422247684,7.41232226,7.07316221,13.42641777,2.892004626,20.58147308,20.40332104,13.97001823,5.00432432,19.62521846,19.57950872
-8,0,3.156132132,7.41232226,7.95453856,13.4709629,2.892004626,20.58147308,21.23423897,13.68052295,5.00432432,19.66558338,19.30522464
-7,0,3.027849449,7.41232226,7.66073132,13.86255146,2.892004626,20.20675748,21.03730356,14.33362168,4.705882353,19.95670992,18.54595007
-6,0,2.91936001,7.58878503,7.66073132,14.09953894,2.892004626,19.92896482,21.25731073,14.25291512,5.00432432,19.95670992,19.14095
-5,0,2.91936001,8.00119771,7.0624098,14.15155364,2.892004626,20.02766635,21.03730356,14.18089087,5.00432432,19.91681663,19.7566006
-4,0,2.91936001,8.23529412,7.0624098,13.83271835,3.033235461,20.02766635,20.84221487,14.59141469,5.00432432,20.46454214,20
-3,0,2.515842552,9.05931577,7.67780121,13.76138639,2.764928696,20.12942278,20.64901504,15.1207428,4.710337658,20.43224937,20.5340874
-2,0,2.113756837,9.47166424,7.38441369,13.76138639,2.892004626,20.23419715,21.03730356,14.88940007,4.710337658,20.75671378,21.19133748
-1,0,1.609472075,9.70588235,8.26467328,13.47564562,2.892004626,20.83719322,21.45260827,15.1207428,5.00432432,19.62521846,20.9124157
0,0,1.771096725,10.1177615,7.99454237,13.47564562,2.892004626,21.49345418,21.64972068,15.17655634,5.29831847,20.40332104,20.78356817
1,1,2.01580026,9.94221858,8.58046633,13.47564562,2.892004626,22.03643575,21.47875691,14.76505602,5.29411765,20.35560243,21.04394742
2,1,1.530471562,9.94221858,8.58046633,13.5480765,2.63007163,22.03643575,21.89367762,15.0712399,5.58823529,19.47546614,20.78356817
3,1,1.530471562,10.35339192,8.3524229,13.40762968,2.764928696,22.03643575,22.08758063,15.0712399,5.59231947,19.76882738,20.92409735
4,1,1.120191778,10.52985739,8.10392318,13.40762968,2.764928696,22.14978318,21.67243306,15.14866889,5.29831847,20.11048252,21.04892921
5,1,0.710731717,11.30696032,8.06094312,13.40762968,2.63007163,22.14978318,21.45260827,15.39404215,5.29831847,20.11048252,20.92409735
6,1,0.302281287,11.68453483,7.73227107,13.40762968,2.63007163,21.76470588,21.45260827,14.82841622,5.29411765,20.13974782,20.5340874
7,1,0.470904482,11.87784322,7.1481626,13.05652409,2.498558108,21.8791992,21.06386885,14.92416418,5.29831847,20.46454214,20.5340874
