time,ex,nucleus2
-29,0,27.70530046
-28,0,27.70530046
-27,0,27.31682476
-26,0,27.09523027
-25,0,26.90193668
-24,0,26.90193668
-23,0,26.68017074
-22,0,26.87480918
-21,0,26.68017074
-20,0,26.45959126
-19,0,26.65558599
-18,0,26.85309054
-17,0,27.052077
-16,0,26.83679184
-15,0,26.82592141
-14,0,27.03857969
-13,0,26.6227766
-12,0,25.77994224
-11,0,25.16247812
-10,0,24.7466232
-9,0,24.14288864
-8,0,23.96872195
-7,0,23.74840149
-6,0,23.55365859
-5,0,22.94582005
-4,0,22.75479634
-3,0,22.9798494
-2,0,22.79217236
-1,0,23.24907752
0,0,23.4793375
1,1,23.71076381
2,1,23.53092779
3,1,23.76494647
4,1,23.58847737
5,1,23.82502997
6,1,23.6519503
7,1,23.48085619
8,1,23.31178365
9,1,23.07090627
10,1,23.31178365
11,1,22.9798494
12,1,23.1447691
13,1,23.31178365
14,1,22.9798494
15,1,22.8170618
16,1,22.65644396
17,1,22.40980806
18,1,22.09237051
19,1,21.6334857
20,1,21.33954491
21,1,21.05557011
22,1,20.78189059
23,1,19.99134798
24,1,19.86120642
25,1,19.7338777
26,1,19.86120642
27,1,19.7338777
28,1,19.60940547
29,1,19.48783329
30,1,19.36920457
31,1,19.2535625
32,1,18.86887478
33,1,18.75808003
34,1,18.48525268
35,1,18.37634033
36,1,18.10274928
37,1,17.99578719
38,1,17.44755518
39,1,17.6699655
40,1,17.39933266
41,1,17.51681417
42,1,17.63750754
43,1,17.90532644
44,1,17.7860517
45,1,17.6699655
46,1,17.39933266
47,1,17.51681417
48,1,17.24820665
49,1,17.24820665
50,1,16.85988727
51,1,16.7428348
52,1,16.6291486
53,1,16.79251006
54,1,16.68706342
55,1,16.48669823
56,1,16.39187829
57,1,16.11305865
58,1,16.02066869
59,1,16.02066869
60,1,15.93200394
61,1,15.65116433
62,1,15.56511307
63,1,15.65116433
64,1,15.74102966
65,1,15.46179662
66,1,15.46179662
67,1,15.3706995
68,1,15.28345841
69,1,15.00216251
70,1,15.09062513
71,1,15.18298643
72,1,14.90461684
73,1,14.81095779
74,1,14.62670661
75,1,14.72562663
76,1,14.62670661
77,1,14.34927553
78,1,14.55384722
79,1,14.55384722
80,1,14.38947026
81,1,14.27985484
82,1,14.17412472
83,1,14.34927553
84,1,14.25291512
85,1,13.97457778
86,1,14.07234451
87,1,14.17412472
88,1,13.8992045
89,1,14.00646403
90,1,14.11764706
